,genCQ,expertCQ,cos_score
0,What are the key entities involved in Human-Computer Interaction (HCI)?,What is a human–computer interaction?,0.7601
1,What are the key entities involved in Human-Computer Interaction (HCI)?,How can a user interact in human–computer interactions?,0.6704
2,What are the key entities involved in Human-Computer Interaction (HCI)?,What is a complex interactive computer system?,0.6326
3,What are the key entities involved in Human-Computer Interaction (HCI)?,What does make up the user interface of an interactive computer system?,0.6216
4,How can interactive systems be designed to support multimodal interfaces using ontologies?,What does make up the user interface of an interactive computer system?,0.6018
5,How can interactive systems be designed to support multimodal interfaces using ontologies?,What is an interactive computer system?,0.5939
6,How can interactive systems be designed to support multimodal interfaces using ontologies?,What is an interactive software system?,0.5938
7,What are the fundamental interaction modes in HCI systems?,What is a complex interactive computer system?,0.5863
8,What are the key entities involved in Human-Computer Interaction (HCI)?,What is an interactive computer system?,0.5828
9,What are the fundamental interaction modes in HCI systems?,What does make up the user interface of an interactive computer system?,0.5726
10,How can interactive systems be designed to support multimodal interfaces using ontologies?,What is a complex interactive computer system?,0.5680
11,In what ways can semantic rules enhance reasoning about user interactions in HCI systems?,How can a user interact in human–computer interactions?,0.5564
12,What is the relationship between user actions and system adaptations in HCI?,What does make up the user interface of an interactive computer system?,0.5517
13,How can interactive systems be designed to support multimodal interfaces using ontologies?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5469
14,What is the relationship between user actions and system adaptations in HCI?,Why does a user intentionally interact with an interactive computer system?,0.5315
15,What are the key entities involved in Human-Computer Interaction (HCI)?,What is an interactive software system?,0.5256
16,What is the relationship between user actions and system adaptations in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5192
17,What are the fundamental interaction modes in HCI systems?,What is a human–computer interaction?,0.5159
18,What is the relationship between user actions and system adaptations in HCI?,How can a user interact in human–computer interactions?,0.5152
19,What are the fundamental interaction modes in HCI systems?,What is an interactive computer system?,0.5118
20,How can interactive systems be designed to support multimodal interfaces using ontologies?,Why does a user intentionally interact with an interactive computer system?,0.5014
21,What are the key entities involved in Human-Computer Interaction (HCI)?,Why does a user intentionally interact with an interactive computer system?,0.5013
22,What are the key entities involved in Human-Computer Interaction (HCI)?,How is a user input processed by an interactive computer system?,0.4977
23,How can interactive systems be designed to support multimodal interfaces using ontologies?,How can a user interact in human–computer interactions?,0.4959
24,How can interactive systems be designed to support multimodal interfaces using ontologies?,How is a user input processed by an interactive computer system?,0.4921
25,What are the fundamental interaction modes in HCI systems?,How can a user interact in human–computer interactions?,0.4915
26,In what ways can semantic rules enhance reasoning about user interactions in HCI systems?,Why does a user intentionally interact with an interactive computer system?,0.4909
27,What are the key entities involved in Human-Computer Interaction (HCI)?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4880
28,In what ways can semantic rules enhance reasoning about user interactions in HCI systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4861
29,What are the key entities involved in Human-Computer Interaction (HCI)?,What does make up a complex user participation?,0.4840
30,What are the key entities involved in Human-Computer Interaction (HCI)?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4814
31,What are the key entities involved in Human-Computer Interaction (HCI)?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4781
32,What is the relationship between user actions and system adaptations in HCI?,What is an interactive computer system?,0.4744
33,What is the relationship between user actions and system adaptations in HCI?,What is a human–computer interaction?,0.4708
34,How are input and output modalities categorized in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4647
35,How can ontologies facilitate adaptive user interfaces in HCI?,What does make up the user interface of an interactive computer system?,0.4621
36,What is the relationship between user actions and system adaptations in HCI?,What is an interactive software system?,0.4617
37,What role do physical and logical devices play in the interaction ontology?,What does make up the user interface of an interactive computer system?,0.4612
38,What is the relationship between user actions and system adaptations in HCI?,What is a complex interactive computer system?,0.4610
39,What are the fundamental interaction modes in HCI systems?,What is an interactive software system?,0.4595
40,In what ways can semantic rules enhance reasoning about user interactions in HCI systems?,What does make up the user interface of an interactive computer system?,0.4573
41,How can interactive systems be designed to support multimodal interfaces using ontologies?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4541
42,In what ways can semantic rules enhance reasoning about user interactions in HCI systems?,What is a human–computer interaction?,0.4517
