,genCQ,expertCQ,cos_score
0,What are the main entities involved in Human-Computer Interaction (HCI)?,What is a human–computer interaction?,0.7667
1,What are the main entities involved in Human-Computer Interaction (HCI)?,What is a complex interactive computer system?,0.6551
2,What are the main entities involved in Human-Computer Interaction (HCI)?,How can a user interact in human–computer interactions?,0.6534
3,What are the main entities involved in Human-Computer Interaction (HCI)?,What does make up the user interface of an interactive computer system?,0.6227
4,What are the main entities involved in Human-Computer Interaction (HCI)?,What is an interactive computer system?,0.5947
5,How do user modeling and reasoning mechanisms enhance HCI systems?,How can a user interact in human–computer interactions?,0.5940
6,What types of user characteristics influence the design of adaptive interfaces?,What does make up the user interface of an interactive computer system?,0.5726
7,How do output modes contribute to user interaction in HCI?,How does a user receive an output from an interactive computer system?,0.5726
8,What are the different types of interaction components in HCI?,What does make up the user interface of an interactive computer system?,0.5639
9,What are the different types of interaction components in HCI?,What is a complex interactive computer system?,0.5534
10,How do user modeling and reasoning mechanisms enhance HCI systems?,Why does a user intentionally interact with an interactive computer system?,0.5477
11,What are the different types of interaction components in HCI?,What is a human–computer interaction?,0.5457
12,What is the role of input modes in HCI systems?,How is a user input processed by an interactive computer system?,0.5435
13,How do user modeling and reasoning mechanisms enhance HCI systems?,What does make up the user interface of an interactive computer system?,0.5417
14,What is the role of input modes in HCI systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5362
15,How do output modes contribute to user interaction in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5344
16,What are the different types of interaction components in HCI?,How can a user interact in human–computer interactions?,0.5324
17,What are the main entities involved in Human-Computer Interaction (HCI)?,What is an interactive software system?,0.5322
18,How do user modeling and reasoning mechanisms enhance HCI systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5240
19,How do user modeling and reasoning mechanisms enhance HCI systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.5234
20,How do output modes contribute to user interaction in HCI?,What does make up the user interface of an interactive computer system?,0.5218
21,How do user modeling and reasoning mechanisms enhance HCI systems?,What does make up a complex user participation?,0.5166
22,How do user modeling and reasoning mechanisms enhance HCI systems?,How is a user input processed by an interactive computer system?,0.5105
23,How do user modeling and reasoning mechanisms enhance HCI systems?,What is a human–computer interaction?,0.5102
