,genCQ,expertCQ,cos_score
0,How frequently are phenomenological methods used in empirical software engineering?,How often are which empirical methods used?,0.7694
1,How does the choice of empirical method impact the study's conclusions in software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7484
2,How frequently are phenomenological methods used in empirical software engineering?,How often are which empirical methods used over time?,0.7443
3,What evidence supports the need for more field studies in empirical software engineering?,How many empirical studies are by authors working for large software development companies?,0.7304
4,How are empirical studies in software engineering funded and managed?,How many empirical studies are by authors working for large software development companies?,0.7274
5,How is the effectiveness of formal methods evaluated through empirical studies?,How often are which empirical methods used?,0.7240
6,How do empirical studies help in understanding the economic aspects of software development?,How many empirical studies are by authors working for large software development companies?,0.7233
7,How do empirical studies contribute to the theoretical foundations of software engineering?,How many empirical studies are by authors working for large software development companies?,0.7178
8,What is the prevalence of case studies versus controlled experiments in empirical research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7151
9,How do empirical findings shape the trends in software development practices?,How many empirical studies are by authors working for large software development companies?,0.7120
10,What research methods are predominantly used in empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.7019
11,How is the effectiveness of empirical methods in software engineering evaluated?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6941
12,How does empirical research inform the development and use of software engineering tools?,How many empirical studies are by authors working for large software development companies?,0.6939
13,What is the contribution of long-term studies to the field of empirical software engineering?,How many empirical studies are by authors working for large software development companies?,0.6923
14,What are contextual factors that influence the outcomes of empirical studies?,Do the authors report the selected context of their study with specific characteristics?,0.6909
15,How frequently are phenomenological methods used in empirical software engineering?,How has the number of empirical methods used per publication evolved over time?,0.6891
16,What are the prominent units of analysis in empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.6861
17,How are empirical research findings validated in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6857
18,How does the choice of empirical method impact the study's conclusions in software engineering?,How often are which empirical methods used?,0.6850
19,How is the effectiveness of empirical methods in software engineering evaluated?,How often are which empirical methods used?,0.6795
20,What are the potential biases in empirical software engineering research?,How many empirical studies are by authors working for large software development companies?,0.6774
21,How is the effectiveness of formal methods evaluated through empirical studies?,How often are which empirical methods used over time?,0.6754
22,What research methods are predominantly used in empirical software engineering studies?,How often are which empirical methods used?,0.6751
23,How can empirical studies be designed to ensure their results are generalizable?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6746
24,What are the systematic approaches to synthesizing empirical research in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6744
25,How does the role of hypotheses in empirical software engineering studies impact the results?,How many empirical studies are by authors working for large software development companies?,0.6739
26,How does the empirical research approach vary across different software engineering topics?,How many empirical studies are by authors working for large software development companies?,0.6695
27,What proportion of empirical research in software engineering focuses on metrics and measurement?,How many empirical studies are by authors working for large software development companies?,0.6694
28,How does the choice of empirical method impact the study's conclusions in software engineering?,How has the number of empirical methods used per publication evolved over time?,0.6678
29,How can empirical studies be designed to ensure their results are generalizable?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6675
30,How is the effectiveness of formal methods evaluated through empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6668
31,What are the critical aspects of empirical methods that need improvement?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6665
32,How do empirical findings shape the trends in software development practices?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6647
33,How does the choice of empirical method impact the study's conclusions in software engineering?,How many different empirical methods are used per publication?,0.6645
34,How frequently are phenomenological methods used in empirical software engineering?,How many different empirical methods are used per publication?,0.6631
35,Which empirical methods have the highest rate of replication?,How has the proportion of replications evolved over time?,0.6610
36,How can empirical studies be designed to ensure their results are generalizable?,How often are which empirical methods used?,0.6605
37,How do empirical studies help in understanding the economic aspects of software development?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6600
38,How is the effectiveness of formal methods evaluated through empirical studies?,How has the number of empirical methods used per publication evolved over time?,0.6595
39,Which empirical methods have the highest rate of replication?,How many different empirical methods are used per publication?,0.6594
40,How does the empirical research approach vary across different software engineering topics?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6591
41,What are the critical aspects of empirical methods that need improvement?,How often are which empirical methods used?,0.6524
42,How frequently are phenomenological methods used in empirical software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6516
43,What research methods are predominantly used in empirical software engineering studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6509
44,How is the effectiveness of formal methods evaluated through empirical studies?,How many different empirical methods are used per publication?,0.6484
45,How do empirical studies address issues in project planning and estimation?,How many empirical studies are by authors working for large software development companies?,0.6466
46,What are the critical aspects of empirical methods that need improvement?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6465
47,How is the effectiveness of formal methods evaluated through empirical studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6462
48,What are the systematic approaches to synthesizing empirical research in software engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6454
49,What research methods are predominantly used in empirical software engineering studies?,How often are which empirical methods used over time?,0.6436
50,How does the empirical research approach vary across different software engineering topics?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6434
51,What role do literature reviews play in shaping empirical software engineering research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6424
52,How does the empirical research approach vary across different software engineering topics?,How has the number of empirical methods used per publication evolved over time?,0.6424
53,What research methods are predominantly used in empirical software engineering studies?,How many different empirical methods are used per publication?,0.6421
54,How do empirical studies contribute to the theoretical foundations of software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6419
55,What are the common pitfalls in the design and execution of empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.6418
56,How does the choice of empirical method impact the study's conclusions in software engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6414
57,What are the most significant gaps in empirical software research that need to be addressed?,How many empirical studies are by authors working for large software development companies?,0.6408
58,What research methods are predominantly used in empirical software engineering studies?,How has the number of empirical methods used per publication evolved over time?,0.6407
59,How does the choice of empirical method impact the study's conclusions in software engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6394
60,How does the choice of empirical method impact the study's conclusions in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6387
61,How do empirical software engineering studies address threats to validity?,How many empirical studies are by authors working for large software development companies?,0.6366
62,What is the contribution of long-term studies to the field of empirical software engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6364
63,What research methods are predominantly used in empirical software engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6363
64,What evidence supports the need for more field studies in empirical software engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6360
65,How are empirical studies in software engineering funded and managed?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6359
66,How can replication of studies contribute to the reliability of empirical research in software engineering?,How many empirical studies are by authors working for large software development companies?,0.6349
67,Which empirical methods have the highest rate of replication?,How has the number of empirical methods used per publication evolved over time?,0.6335
68,How frequently are professionals used as subjects in empirical software engineering experiments?,How many empirical studies are by authors working for large software development companies?,0.6315
69,How does the choice of empirical method impact the study's conclusions in software engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6314
70,What research methods are predominantly used in empirical software engineering studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6295
71,How can empirical studies be designed to ensure their results are generalizable?,How has the proportion of empirical studies evolved over time?,0.6293
72,What is the distribution of research methods used in investigating software inspections and reviews?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6267
73,What evidence supports the need for more field studies in empirical software engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6263
74,How does the empirical research approach vary across different software engineering topics?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6259
75,What are the recommended practices for data analysis in empirical software engineering studies?,How many empirical studies are by authors working for large software development companies?,0.6256
76,What are contextual factors that influence the outcomes of empirical studies?,How has the proportion of empirical studies evolved over time?,0.6248
77,How is the effectiveness of empirical methods in software engineering evaluated?,How many different empirical methods are used per publication?,0.6248
78,What are the systematic approaches to synthesizing empirical research in software engineering?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6241
79,How does the empirical research approach vary across different software engineering topics?,How often are which empirical methods used?,0.6233
80,How is the effectiveness of empirical methods in software engineering evaluated?,How has the number of empirical methods used per publication evolved over time?,0.6230
81,How does the choice of empirical method impact the study's conclusions in software engineering?,How often are which empirical methods used over time?,0.6227
82,How should empirical software engineering research be structured to provide actionable insights for practitioners?,How many empirical studies are by authors working for large software development companies?,0.6219
83,How can empirical studies be designed to ensure their results are generalizable?,How has the number of empirical methods used per publication evolved over time?,0.6215
84,What evidence supports the need for more field studies in empirical software engineering?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6212
85,How can replication of studies contribute to the reliability of empirical research in software engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6206
86,What strategies can be used to disseminate empirical software engineering research effectively?,How many empirical studies are by authors working for large software development companies?,0.6200
87,What research methods are predominantly used in empirical software engineering studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6195
88,How does the empirical research approach vary across different software engineering topics?,How many different empirical methods are used per publication?,0.6194
89,What is the impact of specialized tools/methods/frameworks introduced through empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6189
90,What research methods are predominantly used in empirical software engineering studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6177
91,What are the benefits and limitations of correlational studies in empirical software engineering?,How many empirical studies are by authors working for large software development companies?,0.6176
92,How can empirical studies be designed to ensure their results are generalizable?,How many different empirical methods are used per publication?,0.6167
