,genCQ,expertCQ,cos_score
0,What new methodologies have been introduced in the last five years?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.6607
1,How has the funding trend for Requirements Engineering research changed over time?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5694
2,Which authors collaborate frequently in Requirements Engineering research?,How many empirical studies are by authors working for large software development companies?,0.5476
3,How has the funding trend for Requirements Engineering research changed over time?,"How has building on previous research data and results, including from other disciplines, evolved over time?",0.5414
4,Which authors collaborate frequently in Requirements Engineering research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5283
5,How has the funding trend for Requirements Engineering research changed over time?,How has the reporting of research questions and answers evolved over time?,0.5177
6,Who are the leading researchers in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5150
7,What new methodologies have been introduced in the last five years?,How has the use of statistical methods evolved over time?,0.5139
8,What new methodologies have been introduced in the last five years?,How has the number of empirical methods used per publication evolved over time?,0.5068
9,Who are the leading researchers in Requirements Engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4994
10,What new methodologies have been introduced in the last five years?,"How has building on previous research data and results, including from other disciplines, evolved over time?",0.4989
11,Which software tools have the highest adoption in academic research on Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.4904
12,Which authors collaborate frequently in Requirements Engineering research?,How often are those who conduct the studies also the authors of the papers?,0.4885
13,Which Requirements Engineering research works have influenced industry practices?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4878
14,Which software tools have the highest adoption in academic research on Requirements Engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4864
15,What new methodologies have been introduced in the last five years?,How often are which empirical methods used over time?,0.4818
16,Which Requirements Engineering research works have influenced industry practices?,How many empirical studies are by authors working for large software development companies?,0.4800
17,Which authors collaborate frequently in Requirements Engineering research?,Have the authors done a systematic review of related work?,0.4800
18,How has the funding trend for Requirements Engineering research changed over time?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4796
19,How have methodologies in Requirements Engineering evolved over the years?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4794
20,Which Requirements Engineering research works have influenced industry practices?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4788
21,Which types of research in Requirements Engineering attract the most investment?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4747
22,Which Requirements Engineering research works have influenced industry practices?,"Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?",0.4737
23,Which authors collaborate frequently in Requirements Engineering research?,Do the authors use a well defined taxonomy for their research design?,0.4722
24,What new methodologies have been introduced in the last five years?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4721
25,How has the funding trend for Requirements Engineering research changed over time?,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",0.4717
26,What methodologies are most commonly used in Requirements Engineering research?,How often are which statistical methods used?,0.4708
27,How are qualitative methods used in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4702
28,How has the funding trend for Requirements Engineering research changed over time?,How has the proportion of empirical studies evolved over time?,0.4701
29,Which challenges have been consistently difficult to address over the past decade?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4648
30,Which authors collaborate frequently in Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4609
31,Which Requirements Engineering research works have influenced industry practices?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4605
32,Which Requirements Engineering research works have influenced industry practices?,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,0.4585
33,Which Requirements Engineering research works have influenced industry practices?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4585
34,How has the use of technology in Requirements Engineering evolved?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4578
35,How have methodologies in Requirements Engineering evolved over the years?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4576
36,How has the funding trend for Requirements Engineering research changed over time?,How many empirical studies are by authors working for large software development companies?,0.4572
37,What new methodologies have been introduced in the last five years?,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",0.4559
38,How has the funding trend for Requirements Engineering research changed over time?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4555
39,What software tools are used in Requirements Engineering research?,How many empirical studies are by authors working for large software development companies?,0.4553
40,What are the major funding sources for Requirements Engineering research?,How many empirical studies are by authors working for large software development companies?,0.4544
41,Which types of research in Requirements Engineering attract the most investment?,How many empirical studies are by authors working for large software development companies?,0.4540
42,Which authors collaborate frequently in Requirements Engineering research?,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",0.4517
43,What new methodologies have been introduced in the last five years?,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",0.4512
44,What new methodologies have been introduced in the last five years?,How often are which statistical methods used?,0.4492
45,What methodologies are most commonly used in Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4491
46,How have methodologies in Requirements Engineering evolved over the years?,How has the reporting of the tasks evolved over time?,0.4486
47,How are qualitative methods used in Requirements Engineering research?,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",0.4461
48,How has the funding trend for Requirements Engineering research changed over time?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4459
49,What are the key theories in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4455
50,Which types of research in Requirements Engineering attract the most investment?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4454
51,How has the use of technology in Requirements Engineering evolved?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4447
52,How has the funding trend for Requirements Engineering research changed over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4446
53,What are the key theories in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4439
54,How has the funding trend for Requirements Engineering research changed over time?,How has the reporting of the objects of study / treatments evolved over time?,0.4431
55,Which authors or institutions have the most influence in the development of Requirements Engineering methodologies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4426
56,How are qualitative methods used in Requirements Engineering research?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4419
57,Which challenges have been consistently difficult to address over the past decade?,How has the reporting of the tasks evolved over time?,0.4419
58,What new methodologies have been introduced in the last five years?,How do the authors justify the selection and combination of empirical methods and design elements?,0.4417
59,How has the use of technology in Requirements Engineering evolved?,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",0.4415
60,What are the most cited papers in Requirements Engineering?,How many publications are analyzed in (systematic literature) reviews?,0.4409
61,How has inter-disciplinary collaboration influenced Requirements Engineering research?,Do the authors use a well defined taxonomy for their research design?,0.4403
