,expertCQs,genCQs
1,How has the proportion of empirical studies evolved over time?,What are the key theories in Requirements Engineering?
2,How often are which empirical methods used over time?,Who are the leading researchers in Requirements Engineering?
3,Which sub-fields of SE and RE do the empirical studies cover over time?,What institutions are prominent in Requirements Engineering research?
4, How do the authors justify the lack of a proper study?,When was the earliest published research in Requirements Engineering?
5,How has the proportion of papers that do not have an empirical study evolved over time?,How has the funding trend for Requirements Engineering research changed over time?
6,How many empirical studies are by authors working for large software development companies?,What are the most cited papers in Requirements Engineering?
7,How has the proportion of studies by authors working for large software development companies evolved over time?,Which countries contribute most to Requirements Engineering research?
8,"How has building on previous research data and results, including from other disciplines, evolved over time?",What methodologies are most commonly used in Requirements Engineering research?
9,How do the authors justify the selection and combination of empirical methods and design elements?,How have methodologies in Requirements Engineering evolved over the years?
10,How often are which empirical methods used?,What new methodologies have been introduced in the last five years?
11,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",Which methodologies are most effective for specific types of Requirements Engineering problems?
12,How has the proportion of replications evolved over time?,How are qualitative methods used in Requirements Engineering research?
13,How has the use of triangulation for research design evolved over time?,What role do quantitative methods play in Requirements Engineering?
14,How often are those who conduct the studies also the authors of the papers?,What are the current hot topics in Requirements Engineering?
15,How do the authors justify preventing bias in the study results?,Which areas of Requirements Engineering are most researched?
16,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,What are emerging trends in Requirements Engineering?
17,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,Which Requirements Engineering topics have declined in research interest?
18,How often are which statistical methods used?,How do different industries influence the focus areas in Requirements Engineering research?
19,How has the use of statistical methods evolved over time?,What software tools are used in Requirements Engineering research?
20,Do authors report that assumptions and limitations of statistical methods are met before using them?,How has the use of technology in Requirements Engineering evolved?
21,How has the definition of the population evolved over time?,What new technologies have been adapted for Requirements Engineering in the last decade?
22,How has the use of power analysis and effect size estimation evolved over time?,Which software tools have the highest adoption in academic research on Requirements Engineering?
23,How has the reporting of threats to validity evolved over time?,"What tools are used for Requirements Elicitation, Analysis, and Validation respectively?"
24,What types of threats to validity do the authors report?,Which authors collaborate frequently in Requirements Engineering research?
25,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,What are the major research collaborations (between institutions) in Requirements Engineering?
26,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How has inter-disciplinary collaboration influenced Requirements Engineering research?
27,How has the reporting of the subjects evolved over time?,Which authors or institutions have the most influence in the development of Requirements Engineering methodologies?
28,How has the reporting of the objects of study / treatments evolved over time?,What are the most impactful outcomes of Requirements Engineering research?
29,How has the reporting of the tasks evolved over time?,Which Requirements Engineering research works have influenced industry practices?
30,How has the reporting of the setting evolved over time?,How do research findings in Requirements Engineering translate to real-world applications?
31,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,What are the successful commercial products derived from Requirements Engineering research?
32,How has the the reporting of the population evolved over time?,What patents have been filed as a result of Requirements Engineering research?
33,How has the reporting of the context evolved over time?,What are the major funding sources for Requirements Engineering research?
34,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,How does funding impact the research outputs in Requirements Engineering?
35,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,What partnerships between academia and industry exist for funding Requirements Engineering research?
36,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,Which types of research in Requirements Engineering attract the most investment?
37,Do the authors report the selected context of their study with specific characteristics?,What are the major challenges currently facing Requirements Engineering research?
38,Does the research design allow for efficient reuse of study (results) by other researchers?,What research gaps exist in the field of Requirements Engineering?
39,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",Which challenges have been consistently difficult to address over the past decade?
40,How has the reporting of research questions and answers evolved over time?,How does Requirements Engineering research address the issue of scalability and complexity in software systems?
41,How has the use of language (academic vs. plain) in scientific publications evolved over time?,What are the main conferences focused on Requirements Engineering?
42,Do the authors use a well defined taxonomy for their research design?,Who are the keynote speakers frequently featured at these conferences?
43,Do the authors use other channels to publish their results for making them available to industrial users?,What workshops or seminars are crucial for a newcomer in Requirements Engineering?
44,"What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?",How has the community engagement in Requirements Engineering changed over time?
45,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",What educational programs are best for studying Requirements Engineering?
46,Have the authors done a systematic review of related work?,How do educational institutions incorporate industry trends into their RE curriculum?
47,"How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?",What are the primary textbooks and resources used for teaching Requirements Engineering?
48,How many publications are analyzed in (systematic literature) reviews?,How does higher education in Requirements Engineering differ across countries?
