,genCQ,expertCQ,cos_score
0,What are the main capabilities considered for user interaction in HCI?,How can a user interact in human–computer interactions?,0.6284
1,What are the main capabilities considered for user interaction in HCI?,What does make up the user interface of an interactive computer system?,0.6272
2,What are the main capabilities considered for user interaction in HCI?,What is a human–computer interaction?,0.6270
3,How do physical and cognitive disabilities affect user interaction with computer systems?,How can a user interact in human–computer interactions?,0.6098
4,What are the different types of user interfaces that can be generated based on user characteristics?,What does make up the user interface of an interactive computer system?,0.6014
5,How do physical and cognitive disabilities affect user interaction with computer systems?,What does make up the user interface of an interactive computer system?,0.5945
6,What are the main capabilities considered for user interaction in HCI?,What is a complex interactive computer system?,0.5768
7,What are the main concepts necessary to model user interaction in ontology-based HCI systems?,How can a user interact in human–computer interactions?,0.5750
8,How do physical and cognitive disabilities affect user interaction with computer systems?,What is a human–computer interaction?,0.5601
9,How do physical and cognitive disabilities affect user interaction with computer systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5576
10,What are the main capabilities considered for user interaction in HCI?,What is an interactive computer system?,0.5557
11,How do physical and cognitive disabilities affect user interaction with computer systems?,What is an interactive computer system?,0.5546
12,How do physical and cognitive disabilities affect user interaction with computer systems?,Why does a user intentionally interact with an interactive computer system?,0.5501
13,What role do user preferences and skills play in the customization of user interfaces?,What does make up the user interface of an interactive computer system?,0.5417
14,How do physical and cognitive disabilities affect user interaction with computer systems?,What is a complex interactive computer system?,0.5349
15,What are the main concepts necessary to model user interaction in ontology-based HCI systems?,What does make up the user interface of an interactive computer system?,0.5335
16,What are the main capabilities considered for user interaction in HCI?,What is an interactive software system?,0.5314
17,What are the most common modalities for input and output interactions in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5313
18,What are the main concepts necessary to model user interaction in ontology-based HCI systems?,What is a human–computer interaction?,0.5312
19,What are the main capabilities considered for user interaction in HCI?,Why does a user intentionally interact with an interactive computer system?,0.5231
20,What are the key components of an interaction ontology for adaptive interface design?,What does make up the user interface of an interactive computer system?,0.5062
21,What are the different types of user interfaces that can be generated based on user characteristics?,How can a user interact in human–computer interactions?,0.4982
