,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.7662
1,How often are which empirical methods used over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.7606
2,Which sub-fields of SE and RE do the empirical studies cover over time?,What is the state of empirical research in RE according to recent studies?,0.7666
3, How do the authors justify the lack of a proper study?,How can the quality and relevance of empirical studies in RE be improved?,0.5389
4,How has the proportion of papers that do not have an empirical study evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.6526
5,How many empirical studies are by authors working for large software development companies?,How do RE tools impact the overall project success based on empirical studies?,0.5841
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.581
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How has the use of empirical research methods in RE evolved over the past decades?,0.6479
8,How do the authors justify the selection and combination of empirical methods and design elements?,How has the use of empirical research methods in RE evolved over the past decades?,0.7116
9,How often are which empirical methods used?,How has the use of empirical research methods in RE evolved over the past decades?,0.74
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How has the use of empirical research methods in RE evolved over the past decades?,0.7625
11,How has the proportion of replications evolved over time?,What factors affect the successful replication of empirical RE studies?,0.4768
12,How has the use of triangulation for research design evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.4697
13,How often are those who conduct the studies also the authors of the papers?,What methodologies are used to classify empirical research studies in RE?,0.4256
14,How do the authors justify preventing bias in the study results?,What challenges do researchers face in achieving reliable empirical evidence in RE?,0.541
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.4981
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.6258
17,How often are which statistical methods used?,How has the use of empirical research methods in RE evolved over the past decades?,0.5746
18,How has the use of statistical methods evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.7097
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How has the use of empirical research methods in RE evolved over the past decades?,0.5205
20,How has the definition of the population evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.3634
21,How has the use of power analysis and effect size estimation evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.4135
22,How has the reporting of threats to validity evolved over time?,What challenges do researchers face in achieving reliable empirical evidence in RE?,0.4369
23,What types of threats to validity do the authors report?,What challenges do researchers face in achieving reliable empirical evidence in RE?,0.4676
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.6243
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.7537
26,How has the reporting of the subjects evolved over time?,What patterns emerge from the empirical study of RE practices over time?,0.4712
27,How has the reporting of the objects of study / treatments evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.557
28,How has the reporting of the tasks evolved over time?,What patterns emerge from the empirical study of RE practices over time?,0.501
29,How has the reporting of the setting evolved over time?,What patterns emerge from the empirical study of RE practices over time?,0.4622
30,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,How has empirical research contributed to the development of RE standards?,0.5
31,How has the the reporting of the population evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.4298
32,How has the reporting of the context evolved over time?,What are the significant contextual factors identified in empirical RE studies?,0.47
33,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,What are the significant contextual factors identified in empirical RE studies?,0.4111
34,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,What are the significant contextual factors identified in empirical RE studies?,0.3791
35,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,What are the significant contextual factors identified in empirical RE studies?,0.4398
36,Do the authors report the selected context of their study with specific characteristics?,What are the significant contextual factors identified in empirical RE studies?,0.6302
37,Does the research design allow for efficient reuse of study (results) by other researchers?,What factors affect the successful replication of empirical RE studies?,0.5403
38,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",How has the use of empirical research methods in RE evolved over the past decades?,0.6088
39,How has the reporting of research questions and answers evolved over time?,How has the use of empirical research methods in RE evolved over the past decades?,0.5981
40,How has the use of language (academic vs. plain) in scientific publications evolved over time?,How do empirical studies evaluate the role of languages and notations in RE?,0.4873
