,genCQ,expertCQ,cos_score
0,How often are case studies used in Requirements Engineering empirical research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7117
1,How do researchers address the complexity of software engineering in empirical studies?,How many empirical studies are by authors working for large software development companies?,0.7062
2,How do empirical research findings affect software engineering education and practice?,How many empirical studies are by authors working for large software development companies?,0.6739
3,How often are case studies used in Requirements Engineering empirical research?,How many empirical studies are by authors working for large software development companies?,0.6255
4,What approaches are used to ensure the rigor of empirical research methods in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6245
5,How do researchers address the complexity of software engineering in empirical studies?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.6205
6,What are the main objectives of empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6048
7,How is empirical research used to develop standards and guidelines in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6032
8,How do researchers address the complexity of software engineering in empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6006
9,How do empirical research findings affect software engineering education and practice?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5996
10,What different types of empirical studies are found in Requirements Engineering literature?,How many empirical studies are by authors working for large software development companies?,0.5961
11,What are the strengths and limitations of various empirical research methods in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5902
12,How are data collection and analysis methods selected for empirical studies in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5865
13,What methodological approaches are used in empirical Requirements Engineering surveys?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5854
14,How are empirical studies in Requirements Engineering classified?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5849
15,How are empirical studies categorized based on their research designs in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5807
16,How are data collection and analysis methods selected for empirical studies in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5782
17,What different types of empirical studies are found in Requirements Engineering literature?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5780
18,What frameworks are used to organize empirical research findings in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5775
19,How is the research map used to structure empirical studies in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5762
20,How do empirical studies address the diversity of terminology in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.5756
21,How often are case studies used in Requirements Engineering empirical research?,How often are which empirical methods used over time?,0.5753
22,What tools and techniques are validated through empirical Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5727
23,What are the typical methodologies for empirical software engineering research as applied to Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5720
24,How does empirical research support decision-making in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5713
25,How are empirical studies categorized based on their research designs in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5707
26,What are the main themes explored in empirical Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5706
27,How often are case studies used in Requirements Engineering empirical research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5696
28,What are the typical methodologies for empirical software engineering research as applied to Requirements Engineering?,How often are which empirical methods used?,0.5688
29,What approaches are used to ensure the rigor of empirical research methods in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5686
30,What approaches are used to ensure the rigor of empirical research methods in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5679
31,What criteria are used to evaluate the quality of empirical studies in Requirements Engineering?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5678
32,What methods are most frequently used in empirical research on Requirements Engineering?,How often are which empirical methods used?,0.5673
33,How often are case studies used in Requirements Engineering empirical research?,How often are which empirical methods used?,0.5658
34,How is empirical research used to develop standards and guidelines in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5649
35,What tools and techniques are validated through empirical Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5644
36,What are the main principles guiding empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5627
37,How do empirical studies address the diversity of terminology in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5611
38,How do researchers gather data for empirical studies in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5610
39,What approaches are used to ensure the rigor of empirical research methods in Requirements Engineering?,How often are which empirical methods used?,0.5604
40,What approaches are used to ensure the rigor of empirical research methods in Requirements Engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5601
41,How do empirical studies address the diversity of terminology in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5596
42,What different types of empirical studies are found in Requirements Engineering literature?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5586
43,How are empirical studies in Requirements Engineering classified?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5581
44,What methods are most frequently used in empirical research on Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5581
45,How do different empirical studies compare in terms of methodology and findings in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5575
46,How do empirical research findings affect software engineering education and practice?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5570
47,What different types of empirical studies are found in Requirements Engineering literature?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5566
48,How do researchers address the complexity of software engineering in empirical studies?,How has the number of empirical methods used per publication evolved over time?,0.5560
49,How are empirical studies categorized based on their research designs in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5555
50,What is the significance of context and principles in Requirements Engineering empirical studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5535
51,How are requirements elicitation techniques evaluated in empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5535
52,What criteria are used to evaluate the quality of empirical studies in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5533
53,How is empirical research used to develop standards and guidelines in Requirements Engineering?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.5532
54,What are the main objectives of empirical research in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5532
55,What are the typical methodologies for empirical software engineering research as applied to Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5529
56,How are data collection and analysis methods selected for empirical studies in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5517
57,How do empirical research findings affect software engineering education and practice?,How has the proportion of empirical studies evolved over time?,0.5508
58,How is the research map used to structure empirical studies in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5506
59,How are data collection and analysis methods selected for empirical studies in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5496
60,How are data collection and analysis methods selected for empirical studies in Requirements Engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5496
61,What criteria are used to evaluate the quality of empirical studies in Requirements Engineering?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5489
62,How often are case studies used in Requirements Engineering empirical research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.5484
63,How do different empirical studies compare in terms of methodology and findings in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5482
64,How do researchers address the complexity of software engineering in empirical studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5481
65,What are the most frequently studied variables in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5479
66,How is empirical evidence synthesized and communicated in the field of Requirements Engineering?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5463
67,What approaches are used to ensure the rigor of empirical research methods in Requirements Engineering?,How has the number of empirical methods used per publication evolved over time?,0.5459
68,How often are case studies used in Requirements Engineering empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5458
69,How is empirical research integrated into Requirements Engineering curricula and training programs?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5458
70,What are the typical methodologies for empirical software engineering research as applied to Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5456
71,How do empirical research findings affect software engineering education and practice?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5433
72,How often are case studies used in Requirements Engineering empirical research?,How has the proportion of empirical studies evolved over time?,0.5433
73,What different types of empirical studies are found in Requirements Engineering literature?,How many different empirical methods are used per publication?,0.5432
74,What are the strengths and limitations of various empirical research methods in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5430
