,genCQ,expertCQ,cos_score
0,What are the most significant empirical studies in the RE domain over the past ten years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.8007
1,How has the focus on empirical RE research evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7730
2,What common research agendas exist with a focus on empirical methods in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7411
3,How has the focus on empirical RE research evolved over the years?,How has the proportion of empirical studies evolved over time?,0.7332
4,How can empirical RE studies be synthesized for better evidence representation?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7307
5,What are the identified gaps in empirical research within the RE field?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7289
6,What are the most significant empirical studies in the RE domain over the past ten years?,How has the proportion of empirical studies evolved over time?,0.7278
7,What is the role of case studies in empirical RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7238
8,How can the scientific method be applied to empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7173
9,What are the empirical research methods most relevant to software engineering?,How often are which empirical methods used?,0.7040
10,What are the main focuses and gaps in existing empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7003
11,What common research agendas exist with a focus on empirical methods in RE?,How often are which empirical methods used?,0.6989
12,What are the significant theories derived from empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6920
13,How can the scientific method be applied to empirical RE research?,How often are which empirical methods used?,0.6839
14,What are the foundations and methodical approaches for structuring empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6826
15,How has the focus on empirical RE research evolved over the years?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6821
16,How has the focus on empirical RE research evolved over the years?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6816
17,What common research agendas exist with a focus on empirical methods in RE?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6782
18,What are the essential components of a research agenda focused on empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6750
19,What are the trends indicated by qualitative results in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6744
20,What common research agendas exist with a focus on empirical methods in RE?,How has the number of empirical methods used per publication evolved over time?,0.6737
21,What common research agendas exist with a focus on empirical methods in RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6730
22,What are the major themes identified in empirical RE research literature?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6715
23,What are the empirical research methods most relevant to software engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6714
24,How can RE methods and techniques be empirically validated?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6695
25,What are the essential components of a research agenda focused on empirical RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6666
26,What are the major themes identified in empirical RE research literature?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6664
27,What are the empirical research methods most relevant to software engineering?,How many empirical studies are by authors working for large software development companies?,0.6635
28,How can the quality and relevance of empirical RE studies be improved?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6614
29,How has the focus on empirical RE research evolved over the years?,How has the number of empirical methods used per publication evolved over time?,0.6609
30,What common research agendas exist with a focus on empirical methods in RE?,How often are which empirical methods used over time?,0.6602
31,How can the scientific method be applied to empirical RE research?,How often are which empirical methods used over time?,0.6564
32,How can the scientific method be applied to empirical RE research?,How has the number of empirical methods used per publication evolved over time?,0.6564
