,genCQ,expertCQ,cos_score
0,How can we establish a basis for future RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7281
1,What are the expectations on academia regarding empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6975
2,How can we establish a basis for future RE empirical studies?,How has the proportion of empirical studies evolved over time?,0.6918
3,What are the future directions for empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6833
4,What are the major findings from empirical RE studies conducted internationally?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6756
5,What is the importance of standard terminology in empirical RE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6599
6,What problems do empirical studies typically identify in RE practice?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6589
7,How can we ensure that empirical RE research remains relevant and up-to-date?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6580
8,What are the challenges in conducting large-scale empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6568
9,How can empirical RE research influence the adoption of specific techniques?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6499
10,What terminology should be used in empirical software engineering to ensure clarity in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6495
11,What methodology is used to organize empirical RE research systematically?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6490
12,How can empirical RE research influence the adoption of specific techniques?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6478
13,What is the importance of standard terminology in empirical RE studies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6470
14,How can we use empirical studies to bridge the gap between RE research and practice?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6431
15,How can empirical RE research influence the adoption of specific techniques?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6430
16,How can we establish a basis for future RE empirical studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6382
17,How can empirical RE research influence the adoption of specific techniques?,How has the number of empirical methods used per publication evolved over time?,0.6371
18,How can we establish a basis for future RE empirical studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6335
19,How can large-scale empirical evidence be synthesized for RE practice?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6305
20,What are the common strategies for inquiry in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6285
21,What is the importance of standard terminology in empirical RE studies?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.6243
22,What methodology is used to organize empirical RE research systematically?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6223
23,How can empirical RE research influence the adoption of specific techniques?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6208
24,What problems do empirical studies typically identify in RE practice?,How often are which empirical methods used?,0.6203
