,genCQs,best_expertCQs,best_cos_score
0,What are the fundamental principles of human-computer interaction?,What is a human–computer interaction?,0.7629
1,How are user interfaces categorized in the HCI domain?,What does make up the user interface of an interactive computer system?,0.5538
2,What are the different types of interaction styles in HCI?,What does make up the user interface of an interactive computer system?,0.549
3,How do we model user behavior in the context of HCI?,How can a user interact in human–computer interactions?,0.5466
4,What are the main components of a computer system in the context of HCI?,What is a complex interactive computer system?,0.6313
5,How do users perceive efficiency and effectiveness in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.5198
6,What are the common usability metrics in HCI?,What is a human–computer interaction?,0.4708
7,How are accessibility standards defined and measured in HCI?,What does make up the user interface of an interactive computer system?,0.2953
8,What methods are used to evaluate user experience in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.5372
9,What are the primary goals of HCI research?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4516
10,How do cultural differences impact human-computer interaction?,How can a user interact in human–computer interactions?,0.5771
11,What role does cognitive psychology play in HCI?,What is a human–computer interaction?,0.4904
12,How are feedback mechanisms designed within HCI systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4821
13,What are the ethical considerations in the practice of HCI?,What is a human–computer interaction?,0.3677
14,How do emerging technologies influence HCI practices and research?,What is a human–computer interaction?,0.3646
