,genCQ,expertCQ,cos_score
0,How can user characteristics influence the interaction modalities in a human-computer interaction system?,How can a user interact in human–computer interactions?,0.7212
1,What are the core components of a human-computer interaction system?,What does make up the user interface of an interactive computer system?,0.7140
2,What are the core components of a human-computer interaction system?,What is a human–computer interaction?,0.7012
3,What are the core components of a human-computer interaction system?,What is a complex interactive computer system?,0.6786
4,How can user characteristics influence the interaction modalities in a human-computer interaction system?,What does make up the user interface of an interactive computer system?,0.6693
5,What are the different types of input and output modalities in human-computer interaction?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.6674
6,What are the core components of a human-computer interaction system?,What is an interactive computer system?,0.6599
7,What are the core components of a human-computer interaction system?,How can a user interact in human–computer interactions?,0.6424
8,What are the different types of input and output modalities in human-computer interaction?,How is a user input processed by an interactive computer system?,0.6178
9,How can user characteristics influence the interaction modalities in a human-computer interaction system?,Why does a user intentionally interact with an interactive computer system?,0.6154
10,How can user characteristics influence the interaction modalities in a human-computer interaction system?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.6044
11,What are the different types of input and output modalities in human-computer interaction?,What does make up the user interface of an interactive computer system?,0.5975
12,What are the different types of input and output modalities in human-computer interaction?,What is a human–computer interaction?,0.5961
13,How can user characteristics influence the interaction modalities in a human-computer interaction system?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5929
14,How can user characteristics influence the interaction modalities in a human-computer interaction system?,What is a human–computer interaction?,0.5864
15,What are the different types of input and output modalities in human-computer interaction?,How can a user interact in human–computer interactions?,0.5853
16,What is the role of multimodality in designing adaptive interactive systems?,What is a complex interactive computer system?,0.5785
17,What is the role of multimodality in designing adaptive interactive systems?,What does make up the user interface of an interactive computer system?,0.5751
18,What is the role of multimodality in designing adaptive interactive systems?,What is an interactive computer system?,0.5651
19,What are the different types of input and output modalities in human-computer interaction?,How does a user receive an output from an interactive computer system?,0.5589
20,What are the core components of a human-computer interaction system?,What is an interactive software system?,0.5577
21,How can user characteristics influence the interaction modalities in a human-computer interaction system?,What is an interactive computer system?,0.5499
22,What are the core components of a human-computer interaction system?,How is a user input processed by an interactive computer system?,0.5449
23,What are the different types of input and output modalities in human-computer interaction?,What is an interactive computer system?,0.5388
24,What are the different types of input and output modalities in human-computer interaction?,What is a complex interactive computer system?,0.5360
25,What are the core components of a human-computer interaction system?,Why does a user intentionally interact with an interactive computer system?,0.5334
26,How can user characteristics influence the interaction modalities in a human-computer interaction system?,What is a complex interactive computer system?,0.5282
27,What are the core components of a human-computer interaction system?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5272
28,How can user characteristics influence the interaction modalities in a human-computer interaction system?,What does make up a complex user participation?,0.5239
29,What are the core components of a human-computer interaction system?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5230
30,How does reasoning on an interaction ontology help in deriving user interface adaptations?,What does make up the user interface of an interactive computer system?,0.5224
31,What is the role of multimodality in designing adaptive interactive systems?,What is an interactive software system?,0.5177
32,How can user characteristics influence the interaction modalities in a human-computer interaction system?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.5153
33,How can user characteristics influence the interaction modalities in a human-computer interaction system?,How is a user input processed by an interactive computer system?,0.5146
34,What is the role of multimodality in designing adaptive interactive systems?,Why does a user intentionally interact with an interactive computer system?,0.5084
35,How does reasoning on an interaction ontology help in deriving user interface adaptations?,How can a user interact in human–computer interactions?,0.5001
36,How can user characteristics influence the interaction modalities in a human-computer interaction system?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4929
37,What is the role of multimodality in designing adaptive interactive systems?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4924
38,How can user characteristics influence the interaction modalities in a human-computer interaction system?,What is an interactive software system?,0.4864
39,How does reasoning on an interaction ontology help in deriving user interface adaptations?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4858
40,What is the role of multimodality in designing adaptive interactive systems?,How can a user interact in human–computer interactions?,0.4795
41,What is the role of multimodality in designing adaptive interactive systems?,How is a user input processed by an interactive computer system?,0.4782
42,How does reasoning on an interaction ontology help in deriving user interface adaptations?,Why does a user intentionally interact with an interactive computer system?,0.4723
43,What is the role of multimodality in designing adaptive interactive systems?,What is a human–computer interaction?,0.4717
44,What are the core components of a human-computer interaction system?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4598
45,What is the role of multimodality in designing adaptive interactive systems?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4553
46,How can an ontology facilitate the adaptation of user interfaces based on user profiles?,What does make up the user interface of an interactive computer system?,0.4408
47,What are the different types of input and output modalities in human-computer interaction?,What is an interactive software system?,0.4405
48,How can user characteristics influence the interaction modalities in a human-computer interaction system?,How does a user receive an output from an interactive computer system?,0.4391
49,What are the core components of a human-computer interaction system?,What does make up a complex user participation?,0.4386
