,genCQs,best_expertCQs,best_cos_score
0,What are the main trends in empirical research in Requirements Engineering over the past decade?,How many empirical studies are by authors working for large software development companies?,0.5049
1,Which methodologies are predominantly used in empirical studies in Requirements Engineering?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5922
2,How has the use of case studies evolved in empirical research in Requirements Engineering?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7059
3,What are the key challenges identified in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5047
4,How do different research approaches compare in terms of their effectiveness in Requirements Engineering studies?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5165
5,What is the distribution of qualitative vs,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.3358
6,How frequently are mixed-method approaches used in empirical studies of Requirements Engineering?,How often are which empirical methods used?,0.546
7,What are the major gaps identified in empirical research in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5189
8,How has the focus of empirical Requirements Engineering research shifted over time?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5402
9,What are the most common data collection techniques used in empirical Requirements Engineering research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5647
10,How do researchers validate their findings in empirical Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5665
11,What is the geographical distribution of empirical research contributions in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.5496
12,How has collaboration between academia and industry evolved in empirical research in Requirements Engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5132
13,What tools and technologies are frequently used in empirical studies of Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.508
14,What are the commonly identified requirements engineering practices through empirical studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5796
15,How is the success of empirical research in Requirements Engineering measured?,How many empirical studies are by authors working for large software development companies?,0.5545
16,What role do systematic literature reviews play in the empirical research of Requirements Engineering?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6551
17,How is the quality of empirical studies in Requirements Engineering assessed?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.5377
