,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.6567
1,How often are which empirical methods used over time?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.6831
2,Which sub-fields of SE and RE do the empirical studies cover over time?,What components and relationships are analyzed in RE empirical studies?,0.7397
3, How do the authors justify the lack of a proper study?,What are the basic strategies for inquiry in empirical RE studies?,0.51
4,How has the proportion of papers that do not have an empirical study evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.5618
5,How many empirical studies are by authors working for large software development companies?,What are the main contributions of empirical RE research to evidence-based software engineering?,0.6001
6,How has the proportion of studies by authors working for large software development companies evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.5572
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How are qualitative results from RE studies used to identify trends and insights?,0.5638
8,How do the authors justify the selection and combination of empirical methods and design elements?,How can researchers improve the empirical research methods used in RE?,0.6372
9,How often are which empirical methods used?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.7275
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",What are the emerging trends in empirical research methodologies over the years in RE?,0.6701
11,How has the proportion of replications evolved over time?,How can empirical studies in RE be systematically observed and experimented?,0.3155
12,How has the use of triangulation for research design evolved over time?,How can a research map help in structuring and evaluating empirical RE studies?,0.4384
13,How often are those who conduct the studies also the authors of the papers?,Why is it that empirical studies in RE are often based on interviews and questionnaires?,0.444
14,How do the authors justify preventing bias in the study results?,How can researchers improve the empirical research methods used in RE?,0.4924
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How can empirical studies in RE be systematically observed and experimented?,0.4704
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.6209
17,How often are which statistical methods used?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.5668
18,How has the use of statistical methods evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.515
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.493
20,How has the definition of the population evolved over time?,How does ethnography contribute to understanding RE practices in a natural setting?,0.2553
21,How has the use of power analysis and effect size estimation evolved over time?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.3666
22,How has the reporting of threats to validity evolved over time?,What are the specific RE practices that need further detailed investigation?,0.3684
23,What types of threats to validity do the authors report?,What are the specific RE practices that need further detailed investigation?,0.4066
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,How can the findings of broad studies be utilized to guide further empirical research in RE?,0.5369
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.6684
26,How has the reporting of the subjects evolved over time?,Why is it that empirical studies in RE are often based on interviews and questionnaires?,0.4638
27,How has the reporting of the objects of study / treatments evolved over time?,How are qualitative results from RE studies used to identify trends and insights?,0.5701
28,How has the reporting of the tasks evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.4546
29,How has the reporting of the setting evolved over time?,How do case studies provide insights into RE practices over time?,0.4391
30,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,What are the benefits of developing a unified checklist for empirical research in RE?,0.5606
31,How has the the reporting of the population evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.3577
32,How has the reporting of the context evolved over time?,How does understanding context and general RE settings help in empirical research?,0.4926
33,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,How does understanding context and general RE settings help in empirical research?,0.4731
34,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,How does understanding context and general RE settings help in empirical research?,0.4344
35,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,How does understanding context and general RE settings help in empirical research?,0.5057
36,Do the authors report the selected context of their study with specific characteristics?,What components and relationships are analyzed in RE empirical studies?,0.5965
37,Does the research design allow for efficient reuse of study (results) by other researchers?,What are the benefits of conducting experiments in RE research?,0.606
38,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",What are the emerging trends in empirical research methodologies over the years in RE?,0.5246
39,How has the reporting of research questions and answers evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.5496
40,How has the use of language (academic vs. plain) in scientific publications evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.3772
41,Do the authors use a well defined taxonomy for their research design?,What is the process for analyzing and classifying empirical studies into a research map?,0.4929
42,Do the authors use other channels to publish their results for making them available to industrial users?,In what ways can a technical infrastructure support evidence-based empirical research in RE?,0.3579
43,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",What methods are commonly not sufficiently evaluated in empirical RE studies?,0.6253
44,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",What are the emerging trends in empirical research methodologies over the years in RE?,0.6483
45,Have the authors done a systematic review of related work?,How do new RE practice studies illustrate typical findings and issues in empirical research?,0.4204
46,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",How are qualitative results from RE studies used to identify trends and insights?,0.5411
47,How many publications are analyzed in (systematic literature) reviews?,How can the findings of broad studies be utilized to guide further empirical research in RE?,0.4961
48,"""Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?""",What are the benefits of developing a unified checklist for empirical research in RE?,0.4992
49,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",How are qualitative results from RE studies used to identify trends and insights?,0.4632
50,"""Do electronic resources (digital libraries and databases) provide all the functionalies that support the identification, selection, and retrieval of bibliographic and full-text information about SE research?""",What is the process for analyzing and classifying empirical studies into a research map?,0.443
51,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,How can standard RE terminology and certification schemes improve the replication of studies?,0.4448
52,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,What is the significance of selecting appropriate databases for empirical RE studies?,0.4242
53,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.6185
54,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.6356
55,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,What are the main contributions of empirical RE research to evidence-based software engineering?,0.5378
56,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,How can the findings of broad studies be utilized to guide further empirical research in RE?,0.5708
57,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,What components and relationships are analyzed in RE empirical studies?,0.6463
58,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,What components and relationships are analyzed in RE empirical studies?,0.6868
59,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How does empirical SE research differ from traditional toy examples in terms of validity?,0.5837
60,How many different empirical methods are used per publication?,What methods are commonly not sufficiently evaluated in empirical RE studies?,0.6823
61,How has the number of empirical methods used per publication evolved over time?,What are the emerging trends in empirical research methodologies over the years in RE?,0.6916
