,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,What are the common pitfalls in RE that empirical studies have identified?,0.6679
1,How often are which empirical methods used over time?,What methodologies are used for empirical studies in RE?,0.7305
2,Which sub-fields of SE and RE do the empirical studies cover over time?,What methodologies are used for empirical studies in RE?,0.7176
3, How do the authors justify the lack of a proper study?,What are the common pitfalls in RE that empirical studies have identified?,0.5671
4,How has the proportion of papers that do not have an empirical study evolved over time?,What are the common pitfalls in RE that empirical studies have identified?,0.5571
5,How many empirical studies are by authors working for large software development companies?,How does empirical research in RE contribute to practical software development?,0.6269
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How do empirical research findings in RE influence software engineering education?,0.5558
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How do empirical studies impact the evolution of RE practices over time?,0.5453
8,How do the authors justify the selection and combination of empirical methods and design elements?,What methodologies are used for empirical studies in RE?,0.6532
9,How often are which empirical methods used?,What methodologies are used for empirical studies in RE?,0.7821
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",What are the most commonly used empirical research strategies in RE?,0.6443
11,How has the proportion of replications evolved over time?,How do empirical studies impact the evolution of RE practices over time?,0.4281
12,How has the use of triangulation for research design evolved over time?,What are the most commonly used empirical research strategies in RE?,0.4253
13,How often are those who conduct the studies also the authors of the papers?,How do researchers ensure the validity and reliability of empirical studies in RE?,0.4314
14,How do the authors justify preventing bias in the study results?,What are the common pitfalls in RE that empirical studies have identified?,0.5933
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How do empirical studies impact the evolution of RE practices over time?,0.4751
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How do different empirical research approaches compare in terms of their impact on RE?,0.5337
17,How often are which statistical methods used?,What methodologies are used for empirical studies in RE?,0.6048
18,How has the use of statistical methods evolved over time?,What methodologies are used for empirical studies in RE?,0.5136
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,What are the common pitfalls in RE that empirical studies have identified?,0.4924
20,How has the definition of the population evolved over time?,How do empirical studies impact the evolution of RE practices over time?,0.3871
21,How has the use of power analysis and effect size estimation evolved over time?,What methodologies are used for empirical studies in RE?,0.3538
22,How has the reporting of threats to validity evolved over time?,What are the common pitfalls in RE that empirical studies have identified?,0.4549
23,What types of threats to validity do the authors report?,What are the common pitfalls in RE that empirical studies have identified?,0.5504
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,How does the diversity of RE practices impact the generalizability of empirical research findings?,0.5436
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,"How do different types of empirical research (e.g., case studies, experiments) compare in RE?",0.6566
