,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the application of empirical methods in RE evolved over time?,0.6964
1,How often are which empirical methods used over time?,How has the application of empirical methods in RE evolved over time?,0.8285
2,Which sub-fields of SE and RE do the empirical studies cover over time?,What are the major results of empirical RE studies conducted in the last decade?,0.7563
3, How do the authors justify the lack of a proper study?,What are the common characteristics of successful RE empirical studies?,0.5008
4,How has the proportion of papers that do not have an empirical study evolved over time?,What are the major trends in empirical RE research publications?,0.634
5,How many empirical studies are by authors working for large software development companies?,How do empirical studies in RE align with evidence-based software engineering approaches?,0.6287
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How do empirical studies in RE align with evidence-based software engineering approaches?,0.5543
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How has the application of empirical methods in RE evolved over time?,0.5417
8,How do the authors justify the selection and combination of empirical methods and design elements?,How has the application of empirical methods in RE evolved over time?,0.7106
9,How often are which empirical methods used?,How has the application of empirical methods in RE evolved over time?,0.8103
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",What are the major results of empirical RE studies conducted in the last decade?,0.6386
11,How has the proportion of replications evolved over time?,How often are empirical RE study results replicated and confirmed?,0.4559
12,How has the use of triangulation for research design evolved over time?,What are the common practices in designing and reporting empirical research in RE?,0.4433
13,How often are those who conduct the studies also the authors of the papers?,What are the major trends in empirical RE research publications?,0.4731
14,How do the authors justify preventing bias in the study results?,What role do expert opinions play in empirical RE study designs?,0.5254
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How often are empirical RE study results replicated and confirmed?,0.4743
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How does the empirical evaluation of RE methods impact their adoption in industry?,0.6173
17,How often are which statistical methods used?,What are the prevalent methods for data analysis in empirical RE research?,0.5529
18,How has the use of statistical methods evolved over time?,How has the application of empirical methods in RE evolved over time?,0.6997
