,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How has the number of empirical Requirements Engineering studies changed over the years?,0.5659
1,How often are which empirical methods used over time?,How often are empirical research methods applied in industrial Requirements Engineering projects?,0.6744
2,Which sub-fields of SE and RE do the empirical studies cover over time?,"What types of empirical studies are more prevalent in Requirements Engineering (e.g., case studies, experiments, surveys)?",0.6005
3, How do the authors justify the lack of a proper study?,How do researchers ensure the reliability and validity of empirical studies in Requirements Engineering?,0.386
4,How has the proportion of papers that do not have an empirical study evolved over time?,How has the number of empirical Requirements Engineering studies changed over the years?,0.5172
5,How many empirical studies are by authors working for large software development companies?,How has empirical Requirements Engineering research influenced software development practices?,0.6242
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How has the number of empirical Requirements Engineering studies changed over the years?,0.546
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How have empirical research methods in Requirements Engineering evolved with technology changes?,0.4398
8,How do the authors justify the selection and combination of empirical methods and design elements?,How often are empirical research methods applied in industrial Requirements Engineering projects?,0.5792
9,How often are which empirical methods used?,How often are empirical research methods applied in industrial Requirements Engineering projects?,0.6779
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""","What types of empirical studies are more prevalent in Requirements Engineering (e.g., case studies, experiments, surveys)?",0.5741
11,How has the proportion of replications evolved over time?,How frequently are replication studies conducted in empirical Requirements Engineering research?,0.4709
12,How has the use of triangulation for research design evolved over time?,How has the use of empirical research methods in Requirements Engineering evolved over time?,0.4029
13,How often are those who conduct the studies also the authors of the papers?,How often are empirical research methods applied in industrial Requirements Engineering projects?,0.3797
14,How do the authors justify preventing bias in the study results?,What are the ethical considerations in conducting empirical research in Requirements Engineering?,0.3509
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How frequently are replication studies conducted in empirical Requirements Engineering research?,0.3884
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How have empirical research methods in Requirements Engineering evolved with technology changes?,0.5349
17,How often are which statistical methods used?,How often are empirical research methods applied in industrial Requirements Engineering projects?,0.5645
18,How has the use of statistical methods evolved over time?,How has the use of empirical research methods in Requirements Engineering evolved over time?,0.4955
