,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.5242
1,How often are which empirical methods used over time?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.5864
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How do empirical studies address the integration of RE practices with other software engineering disciplines?,0.584
3, How do the authors justify the lack of a proper study?,What are the significant gaps identified between Requirements Engineering research and actual practice?,0.4117
4,How has the proportion of papers that do not have an empirical study evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.4695
5,How many empirical studies are by authors working for large software development companies?,How do empirical studies address the issue of requirements volatility and its impact on software projects?,0.6042
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How has empirical research in Requirements Engineering influenced software engineering practices?,0.5323
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How do empirical approaches contribute to the development of new SE technologies?,0.4828
8,How do the authors justify the selection and combination of empirical methods and design elements?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.6339
9,How often are which empirical methods used?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.6445
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""","What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.5756
11,How has the proportion of replications evolved over time?,How do replication studies in Requirements Engineering help understand practice progress over time?,0.4596
12,How has the use of triangulation for research design evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.3936
13,How often are those who conduct the studies also the authors of the papers?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.3436
14,How do the authors justify preventing bias in the study results?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.4269
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How do replication studies in Requirements Engineering help understand practice progress over time?,0.4143
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How do empirical approaches contribute to the development of new SE technologies?,0.5864
17,How often are which statistical methods used?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.4772
18,How has the use of statistical methods evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.5059
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.4331
20,How has the definition of the population evolved over time?,What are the observed differences in RE practice adoption among various geographic regions?,0.2949
21,How has the use of power analysis and effect size estimation evolved over time?,How do empirical approaches contribute to the development of new SE technologies?,0.3384
22,How has the reporting of threats to validity evolved over time?,How do empirical studies in Requirements Engineering address ethical considerations?,0.3518
23,What types of threats to validity do the authors report?,How do empirical studies in Requirements Engineering address ethical considerations?,0.396
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.4512
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.6171
26,How has the reporting of the subjects evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.3935
27,How has the reporting of the objects of study / treatments evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.423
28,How has the reporting of the tasks evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.4642
29,How has the reporting of the setting evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.3819
30,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,How can the success of RE techniques be empirically validated in different industrial projects?,0.4952
31,How has the the reporting of the population evolved over time?,What are the observed differences in RE practice adoption among various geographic regions?,0.3246
32,How has the reporting of the context evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.3882
33,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.3595
34,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.3353
35,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.3859
36,Do the authors report the selected context of their study with specific characteristics?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.4636
37,Does the research design allow for efficient reuse of study (results) by other researchers?,How does the empirical evaluation of RE techniques differ in academic versus industrial settings?,0.4829
38,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",How do empirical approaches contribute to the development of new SE technologies?,0.4942
39,How has the reporting of research questions and answers evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.4953
40,How has the use of language (academic vs. plain) in scientific publications evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.3399
41,Do the authors use a well defined taxonomy for their research design?,How does terminology diversity impact empirical research in Requirements Engineering?,0.5298
42,Do the authors use other channels to publish their results for making them available to industrial users?,How can the success of RE techniques be empirically validated in different industrial projects?,0.3595
43,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.5327
44,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",How have empirical research methods evolved in Requirements Engineering over the years?,0.5533
45,Have the authors done a systematic review of related work?,What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.4447
46,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.4247
47,How many publications are analyzed in (systematic literature) reviews?,What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.4791
48,"""Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?""",How do empirical approaches contribute to the development of new SE technologies?,0.42
49,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.4593
50,"""Do electronic resources (digital libraries and databases) provide all the functionalies that support the identification, selection, and retrieval of bibliographic and full-text information about SE research?""",How do empirical approaches contribute to the development of new SE technologies?,0.3478
51,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,How do empirical studies address the integration of RE practices with other software engineering disciplines?,0.412
52,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.4067
53,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,What are the criteria for evaluating the success of empirical studies in Requirements Engineering?,0.5088
54,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,What are the criteria for evaluating the success of empirical studies in Requirements Engineering?,0.5118
55,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,What is the role of evidence-based research frameworks in structuring empirical findings in Requirements Engineering?,0.497
56,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,What is the role of evidence-based research frameworks in structuring empirical findings in Requirements Engineering?,0.5256
57,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,How do empirical studies address the integration of RE practices with other software engineering disciplines?,0.5833
58,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,How do empirical approaches contribute to the development of new SE technologies?,0.603
59,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How have empirical research methods evolved in Requirements Engineering over the years?,0.5719
60,How many different empirical methods are used per publication?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.6217
61,How has the number of empirical methods used per publication evolved over time?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.5825
62,Which methods are used to synthesize evidence from data of different empirical methods?,What kinds of empirical methods are predominantly used in Requirements Engineering research?,0.591
63,How many studies incorporate theories?,"What are the differences in empirical study designs between expert opinions, single-case mechanisms, technical action research, and statistical experiments?",0.4379
64,How has the incorporation of theories in studies evolved over time?,How have empirical research methods evolved in Requirements Engineering over the years?,0.4067
65,"""For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?""",What is the role of evidence-based research frameworks in structuring empirical findings in Requirements Engineering?,0.4208
66,"""What is the proportion of theories from other disciplines, from other disciplines with adaptions for the SE and RE, and from SE and RE itself?""",How does the empirical evaluation of RE techniques differ in academic versus industrial settings?,0.4235
67,"""How has the proportion of theories from other disciplines, from other disciplines with adaptions for the SE (RE), and from SE (RE) itself evolved over time?""",How do empirical approaches contribute to the development of new SE technologies?,0.441
68,How many theories from the SE and RE are there?,How does the empirical evaluation of RE techniques differ in academic versus industrial settings?,0.3873
69,How has the number of theories from SE and RE evolved over time?,How do empirical approaches contribute to the development of new SE technologies?,0.4286
70,"""On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])""",How does the empirical evaluation of RE techniques differ in academic versus industrial settings?,0.3243
71,What is the proportion of each of the three levels of sophistication for theories from SE and RE?,How does the empirical evaluation of RE techniques differ in academic versus industrial settings?,0.3604
72,How has the proportion of each of the three levels of sophistication for theories from SE and RE evolved over time?,How do empirical approaches contribute to the development of new SE technologies?,0.3952
73,"""Do the authors use standards to describe the theories incorporated (used, tested, modified, formulated)?""",What are the implications of standardizing Requirements Engineering terminology?,0.4038
74,How often are standards used to describe the theories incorporated?,What are the implications of standardizing Requirements Engineering terminology?,0.4581
75,How has the use of standards to describe the theories incorporated evolved over time?,What are the implications of standardizing Requirements Engineering terminology?,0.4596
76,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,What systematic literature reviews and mapping studies have summarized empirical Requirements Engineering research?,0.3872
