,genCQ,expertCQ,cos_score
0,How has the focus of empirical RE research shifted over different time periods?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7757
1,What criteria are used to evaluate the quality of empirical studies in RE?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.7513
2,What methods are predominantly used in empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7454
3,What methods are predominantly used in empirical RE research?,How often are which empirical methods used?,0.7399
4,What are the frequently used data collection methods in empirical RE studies?,How often are which empirical methods used?,0.7269
5,Which areas of RE have received the most empirical research attention?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7256
6,Which RE sub-areas need more empirical research attention according to current trends?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7245
7,What is the role of case studies in empirical RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7238
8,Which RE sub-areas have seen decreasing trends in empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7231
9,What criteria are used to evaluate the quality of empirical studies in RE?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.7207
10,What are the frequently used data collection methods in empirical RE studies?,How often are which empirical methods used over time?,0.7187
11,How do empirical RE studies address the scalability of proposed methods?,How often are which empirical methods used?,0.7133
12,How do empirical RE studies adapt to rapid technological advancements?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7060
13,To what extent are guidelines and frameworks proposed in empirical RE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.7015
14,What methods are predominantly used in empirical RE research?,How often are which empirical methods used over time?,0.7013
15,Which publication channels are most common for empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7011
16,What are the emerging research areas within empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7006
17,How has the focus of empirical RE research shifted over different time periods?,How has the proportion of empirical studies evolved over time?,0.6995
18,What methods are predominantly used in empirical RE research?,How many different empirical methods are used per publication?,0.6969
19,What are the main research gaps in the field of empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6966
