,genCQs,best_expertCQs,best_cos_score
0,What gaps exist between Requirements Engineering research and practice?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.4258
1,How have empirical studies in Requirements Engineering evolved over the last decade?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.5221
2,Which popular techniques in RE research are unknown in the industry?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5808
3,What kind of empirical questions should be asked to understand RE practice?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5857
4,What evidence do we have about current RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5135
5,What further evidence is needed about RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4353
6,How can knowledge transfer between industry and university improve RE practices?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4291
7,What are the major findings from broad surveys on RE practices in Germany and Australia?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5014
8,What terminology and concepts are fundamental in empirical software engineering for RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6933
9,How are empirical studies being used to understand RE practices better?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6361
10,What framework can be used to design questionnaires for RE practice studies?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4659
11,What is the state of empirical evidence on RE practice adoption?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.512
12,How do new studies in RE practice compare with previous studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5854
13,"What other types of empirical studies, aside from surveys, are conducted in RE?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7722
14,What are the main advantages and challenges of standardizing RE terminology?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4447
15,How might standardization of RE terminology promote RE practice adoption?,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,0.4718
16,Why is it essential for RE research to combine practitioner insights with academic findings?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.5824
17,How can replication studies contribute to understanding RE practices over time?,How has the proportion of replications evolved over time?,0.5978
18,What are the critical success factors for the widespread adoption of RE techniques?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5451
19,How are empirical methods motivating RE research advancements?,How has the number of empirical methods used per publication evolved over time?,0.6234
20,What are the commonly used empirical practices in RE research?,How often are which empirical methods used?,0.6741
21,How do senior researchers’ and PhD students’ perceptions of RE practices differ?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4081
22,What are the pressing open questions in empirical RE practices?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6591
23,How do different studies assess the usability of empirical guidelines in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6197
24,What is the significance of methodological advice in planning empirical SE studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6121
25,Which empirical research methods are most frequently applied in RE?,How often are which empirical methods used?,0.7876
26,How are empirical results in various RE sub-domains consolidated?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5676
27,What are the main focuses and gaps in current RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6448
28,How does the diversity in empirical approaches impact RE practice?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5758
29,How can empirical research in RE better inform decision-making?,How do the authors justify the selection and combination of empirical methods and design elements?,0.594
30,What are the primary variables affecting RE practice based on empirical data?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6663
31,What empirical data exists on the benefits of RE process improvements?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4666
32,How do empirical studies address the issues of multi-site development in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5843
33,Why do results vary among different empirical RE studies?,How has the proportion of empirical studies evolved over time?,0.662
34,What are the key findings regarding context factors in RE empirical studies?,Do the authors report the selected context of their study with specific characteristics?,0.638
35,What standards or frameworks are used to classify empirical findings in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6549
