,genCQ,expertCQ,cos_score
0,What are the core entities in Human-Computer Interaction ontology?,What is a human–computer interaction?,0.5918
1,What are the main properties used to describe interaction components in HCI?,What does make up the user interface of an interactive computer system?,0.5769
2,How does the ontology represent the physical devices used for interaction?,What does make up the user interface of an interactive computer system?,0.5406
3,What are the main properties used to describe interaction components in HCI?,What is a complex interactive computer system?,0.5301
4,What are the main properties used to describe interaction components in HCI?,How can a user interact in human–computer interactions?,0.5265
5,What are the key challenges in developing an ontology for Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.5262
6,What are the core entities in Human-Computer Interaction ontology?,What is a complex interactive computer system?,0.5237
7,What are the main properties used to describe interaction components in HCI?,What is a human–computer interaction?,0.5192
8,What are the key challenges in developing an ontology for Human-Computer Interaction?,What is a human–computer interaction?,0.5163
9,What are the core entities in Human-Computer Interaction ontology?,How can a user interact in human–computer interactions?,0.5114
10,What are the core entities in Human-Computer Interaction ontology?,What does make up the user interface of an interactive computer system?,0.5105
11,What are the methods used for capturing user behavior in HCI ontology?,How can a user interact in human–computer interactions?,0.4990
12,What are the core entities in Human-Computer Interaction ontology?,What is an interactive computer system?,0.4961
13,How does the ontology represent the physical devices used for interaction?,How can a user interact in human–computer interactions?,0.4891
14,What are the methods used for capturing user behavior in HCI ontology?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4851
15,How does the ontology represent the physical devices used for interaction?,What is a complex interactive computer system?,0.4848
16,How does the ontology represent the physical devices used for interaction?,What is a human–computer interaction?,0.4847
17,How does the ontology represent the physical devices used for interaction?,What is an interactive computer system?,0.4799
18,What are the main properties used to describe interaction components in HCI?,What is an interactive computer system?,0.4731
19,How is the concept of user profile represented in the HCI ontology?,What is a User?,0.4726
20,What are the key challenges in developing an ontology for Human-Computer Interaction?,What is a complex interactive computer system?,0.4591
21,How can an individual's sensory and motor abilities influence interface adaptation in HCI?,How can a user interact in human–computer interactions?,0.4545
22,How does the HCI ontology model input and output modes?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4543
23,What are the core entities in Human-Computer Interaction ontology?,What is an interactive software system?,0.4538
24,In what ways does the HCI ontology support personalization and adaptation of user interfaces?,What does make up the user interface of an interactive computer system?,0.4498
25,What types of interaction modalities are considered in HCI ontology?,What is a complex interactive computer system?,0.4490
26,What types of interaction modalities are considered in HCI ontology?,What is a human–computer interaction?,0.4487
