,genCQ,expertCQ,cos_score
0,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,What is a human–computer interaction?,0.7161
1,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,How can a user interact in human–computer interactions?,0.6777
2,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,What does make up the user interface of an interactive computer system?,0.6341
3,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,What is a complex interactive computer system?,0.6328
4,In what ways can adaptive HCI systems proactively assist users during their interaction?,How can a user interact in human–computer interactions?,0.5934
5,How do multimodal systems enhance user experience in HCI?,How can a user interact in human–computer interactions?,0.5853
6,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,What is an interactive computer system?,0.5718
7,How do multimodal systems enhance user experience in HCI?,What does make up the user interface of an interactive computer system?,0.5670
8,"What role does user context (e.g., location, activity) play in interaction adaptations?",How can a user interact in human–computer interactions?,0.5506
9,In what ways can adaptive HCI systems proactively assist users during their interaction?,Why does a user intentionally interact with an interactive computer system?,0.5338
10,How do multimodal systems enhance user experience in HCI?,What is a complex interactive computer system?,0.5300
11,How do multimodal systems enhance user experience in HCI?,What is a human–computer interaction?,0.5297
12,In what ways can adaptive HCI systems proactively assist users during their interaction?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5296
13,What reasoning mechanisms are applied for adapting user interfaces based on user capabilities and preferences?,What does make up the user interface of an interactive computer system?,0.5147
14,How do multimodal systems enhance user experience in HCI?,Why does a user intentionally interact with an interactive computer system?,0.5141
15,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,Why does a user intentionally interact with an interactive computer system?,0.5107
16,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,What is an interactive software system?,0.5101
17,How do multimodal systems enhance user experience in HCI?,What is an interactive computer system?,0.5095
18,How do multimodal systems enhance user experience in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5042
19,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4999
20,How are semantic web technologies implemented in user interface designs for HCI?,What does make up the user interface of an interactive computer system?,0.4985
21,How are semantic web technologies implemented in user interface designs for HCI?,What is a human–computer interaction?,0.4966
22,In what ways can adaptive HCI systems proactively assist users during their interaction?,What does make up the user interface of an interactive computer system?,0.4936
23,In what ways can adaptive HCI systems proactively assist users during their interaction?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4920
24,In what ways can adaptive HCI systems proactively assist users during their interaction?,What is a human–computer interaction?,0.4903
25,"What role does user context (e.g., location, activity) play in interaction adaptations?",What does make up the user interface of an interactive computer system?,0.4838
26,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,What does make up a complex user participation?,0.4816
27,"How can user disabilities (e.g., motor, visual impairments) be accommodated in interface design?",What does make up the user interface of an interactive computer system?,0.4801
