,genCQs,best_expertCQs,best_cos_score
0,What kind of questions can help understand current practices in Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4761
1,What evidence do we have about the state of RE practice?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4024
2,What further evidence is needed to bridge gaps in RE practice?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.4483
3,What are the primary empirical methods used in RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7293
4,How are empirical results from RE studies structured?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.668
5,What are the main issues identified in empirical RE surveys?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6492
6,What are the most frequently studied variables in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7125
7,What is the significance of roles in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6142
8,How does the use of specific RE techniques influence project outcomes?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4522
9,What are the most common tools mentioned in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7054
10,What evidence supports the adoption of specific RE practices in industry?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5763
11,What are the key success factors identified in RE process improvements?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4237
12,How is empirical knowledge in RE transferred into practice?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5134
13,What are the most significant problems reported in RE practice?,What types of threats to validity do the authors report?,0.4708
14,"How often are different empirical methods (e.g., surveys, experiments) used in RE research?",How often are which empirical methods used?,0.8418
15,What are the most frequently cited components in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7601
16,How do empirical RE studies address the issue of fluctuating and conflicting requirements?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5922
17,What are the current gaps in empirical RE research according to recent studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7099
18,How is the effectiveness of RE tools evaluated in empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5639
19,What role do RE artifacts play in project success according to empirical data?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4871
20,How do interdisciplinary studies contribute to understanding RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4698
21,What are the primary factors influencing the adoption of RE practices?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4706
22,How is RE terminology standardized across different studies?,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",0.4555
