,genCQ,expertCQ,cos_score
0,In which specific domains has empirical RE research been most active?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7739
1,Which RE sub-areas have the most empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7706
2,In which years did the empirical RE research see notable increases in the number of studies?,How has the proportion of empirical studies evolved over time?,0.7700
3,How comprehensive are existing systematic reviews in covering the empirical RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.7663
4,How frequently are case studies used in empirical RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7629
5,"What are the major focus areas of empirical RE research, and how have they been trending?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7526
6,How has the interest in empirical RE research evolved globally?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7474
7,How have the themes of empirical RE research evolved over the last two decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7453
8,What are the primary domains covered in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7401
9,In which years did the empirical RE research see notable increases in the number of studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7384
10,What are the quantifications of empirical research done so far in each RE core area?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7363
11,What are the trends and opportunities in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7323
12,How comprehensive are existing systematic reviews in covering the empirical RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.7294
13,What are the different research methods used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7292
14,How rigorous are the empirical studies in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7284
15,How is the yearly distribution of empirical RE studies in various domains?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7266
16,What are the different research methods used in empirical RE studies?,How often are which empirical methods used?,0.7232
17,What has been done empirically in the RE field?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7231
18,What are the emerging areas in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7182
19,What are the themes and trends emerging from the overall analysis of the empirical literature in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7170
20,What are the new areas emerging in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7166
21,In which context have empirical studies of RE been carried out over the RE research period?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7137
22,Which RE sub-areas lack empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7137
23,What are the different research methods used in empirical RE studies?,How many different empirical methods are used per publication?,0.7117
24,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7080
25,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
26,How has empirical research in various RE knowledge areas evolved over the years?,How has the proportion of empirical studies evolved over time?,0.7036
27,In which journals and conferences is RE empirical research mostly published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7025
28,How frequently are empirical studies in RE reported from different countries?,How has the proportion of empirical studies evolved over time?,0.7007
29,What are the different research methods used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7003
30,How do empirical RE studies measure their research impact?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6999
31,What types of empirical evidence are reported in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6996
32,How comprehensive are existing systematic reviews in covering the empirical RE research?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.6948
33,What are the different research methods used in empirical RE studies?,How often are which empirical methods used over time?,0.6907
34,What are the common themes among empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6886
35,How have the themes of empirical RE research evolved over the last two decades?,How has the proportion of empirical studies evolved over time?,0.6856
36,What are the quantifications of empirical research done so far in each RE core area?,How has the number of empirical methods used per publication evolved over time?,0.6848
37,How has the interest in empirical RE research evolved globally?,How has the proportion of empirical studies evolved over time?,0.6825
38,How frequently are case studies used in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6791
39,What are the quantifications of empirical research done so far in each RE core area?,How many different empirical methods are used per publication?,0.6758
40,How comprehensive are existing systematic reviews in covering the empirical RE research?,How many publications are analyzed in (systematic literature) reviews?,0.6742
41,What are the future research directions in empirical RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6737
42,What are the quantifications of empirical research done so far in each RE core area?,How has the proportion of empirical studies evolved over time?,0.6719
43,How have the themes of empirical RE research evolved over the last two decades?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6715
44,What are the themes and trends emerging from the overall analysis of the empirical literature in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6715
45,What are the practical considerations covered in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6710
46,What are the quantifications of empirical research done so far in each RE core area?,How often are which empirical methods used?,0.6705
47,How is the yearly distribution of empirical RE studies in various domains?,How has the proportion of empirical studies evolved over time?,0.6669
48,How frequently are empirical studies in RE reported from different countries?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6658
49,How have the research interests in RE core areas evolved over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6658
50,What are the different research methods used in empirical RE studies?,How has the number of empirical methods used per publication evolved over time?,0.6654
51,What are the themes and trends emerging from the overall analysis of the empirical literature in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6645
52,What is the strength of empirical evidence in empirical RE literature?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6644
53,How have the themes of empirical RE research evolved over the last two decades?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6638
54,Which research method is frequently used in primary studies?,How often are which statistical methods used?,0.6637
55,In which years did the empirical RE research see notable increases in the number of studies?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6636
56,What are the quality assessment metrics used in empirical RE studies?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.6585
57,In which years did the empirical RE research see notable increases in the number of studies?,How has the number of empirical methods used per publication evolved over time?,0.6585
58,Which RE core areas need the attention of researchers for more empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6574
59,"How are research outputs like guidelines, techniques, and processes distributed across RE empirical studies?","""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6571
60,What is the distribution of empirical research across RE processes?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6560
61,What are the themes and trends emerging from the overall analysis of the empirical literature in RE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6546
62,How frequently are case studies used in empirical RE research?,How often are which empirical methods used over time?,0.6540
63,What types of empirical evidence are reported in RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6533
64,In which years did the empirical RE research see notable increases in the number of studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6522
65,Which RE sub-areas have the most empirical studies?,How has the proportion of empirical studies evolved over time?,0.6500
66,In which journals and conferences is RE empirical research mostly published?,How has the number of empirical methods used per publication evolved over time?,0.6489
67,"How is the empirical RE research distributed across different domains like embedded systems, finance, information systems, etc.?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.6487
68,What are the different research methods used in empirical RE studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6487
69,How comprehensive are existing systematic reviews in covering the empirical RE research?,Have the authors done a systematic review of related work?,0.6481
70,What is the strength of empirical evidence in empirical RE literature?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6475
71,"How are research outputs like guidelines, techniques, and processes distributed across RE empirical studies?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.6473
72,What is the strength of empirical evidence in empirical RE literature?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6471
73,How is the yearly distribution of empirical RE studies in various domains?,How has the number of empirical methods used per publication evolved over time?,0.6467
74,What are the new areas emerging in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6453
75,What are the motivations behind empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6451
76,How has the empirical research in RE processes evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6448
77,What are the evidence gaps in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6447
78,What are the different research methods used in empirical RE studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6437
79,How are data extraction and synthesis strategies employed in empirical RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6437
80,What is the strength of empirical evidence in empirical RE literature?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.6434
81,What are the common interventions in RE empirical studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6430
82,What is the strength of empirical evidence in empirical RE literature?,How has the proportion of empirical studies evolved over time?,0.6429
83,In which years did the empirical RE research see notable increases in the number of studies?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6429
84,Which research method is frequently used in primary studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6422
85,How frequently are case studies used in empirical RE research?,How often are which empirical methods used?,0.6416
86,What are the different research methods used in empirical RE studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6414
87,In which years did the empirical RE research see notable increases in the number of studies?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6408
88,What are the practical considerations covered in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6405
89,In which years did the empirical RE research see notable increases in the number of studies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6386
90,How has the interest in empirical RE research evolved globally?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6374
91,What are the trends and opportunities in empirical RE research?,How has the proportion of empirical studies evolved over time?,0.6373
92,"What are the major focus areas of empirical RE research, and how have they been trending?",What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6373
93,How frequently are case studies used in empirical RE research?,How has the proportion of empirical studies evolved over time?,0.6361
94,How rigorous are the empirical studies in different RE core areas?,How has the proportion of empirical studies evolved over time?,0.6356
95,In which journals and conferences is RE empirical research mostly published?,How has the proportion of papers that do not have an empirical study evolved over time?,0.6356
96,What is the strength of empirical evidence in empirical RE literature?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6356
97,How has the interest in empirical RE research evolved globally?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6354
98,What types of empirical evidence are reported in RE research?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.6354
99,What types of empirical evidence are reported in RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6348
100,How have the research interests in RE core areas evolved over time?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.6338
101,What are the quantifications of empirical research done so far in each RE core area?,How often are which empirical methods used over time?,0.6334
102,What are the emerging areas in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6333
103,What kind of research participants are frequently involved in primary studies?,How often are those who conduct the studies also the authors of the papers?,0.6333
