,genCQ,expertCQ,cos_score
0,In which contexts have empirical RE studies been carried out over time?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.8263
1,What is the general trend in the number of empirical RE studies over the past decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7945
2,What is the general trend in the number of empirical RE studies over the past decades?,How has the proportion of empirical studies evolved over time?,0.7856
3,How has the focus on specific RE core areas changed over time in empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7579
4,What are the predominant types of empirical research conducted in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7525
5,How have the main focus areas in RE empirical research changed over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7495
6,In which contexts have empirical RE studies been carried out over time?,How has the proportion of empirical studies evolved over time?,0.7366
7,What are the emerging trends in RE empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7265
8,Which data collection methods are frequently used in empirical RE studies?,How often are which empirical methods used?,0.7245
9,How are empirical RE studies categorized by their research methods?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7242
10,"How do RE empirical studies vary by domain (e.g., finance, healthcare)?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7215
11,What future research directions are suggested by empirical studies in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7149
12,What are the primary data sources used in empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7132
13,Which RE areas require more empirical research according to current trends?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7105
14,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7080
15,Which data collection methods are frequently used in empirical RE studies?,How often are which empirical methods used over time?,0.7074
16,What methods are used to measure the validity of empirical studies in RE?,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,0.7051
17,Which data collection methods are frequently used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
18,What industries have most of the empirical RE studies been focused on?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7047
19,How has empirical research in various RE knowledge areas evolved over the years?,How has the proportion of empirical studies evolved over time?,0.7036
20,Which data collection methods are frequently used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7020
21,What is the general trend in the number of empirical RE studies over the past decades?,How has the number of empirical methods used per publication evolved over time?,0.7011
22,In which channels are empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6989
23,How have the tools used in RE empirical research evolved?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6988
24,In which contexts have empirical RE studies been carried out over time?,How often are which empirical methods used over time?,0.6944
25,How have the tools used in RE empirical research evolved?,How has the proportion of empirical studies evolved over time?,0.6902
26,How have empirical studies influenced RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6897
27,What is the state of the art in empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6891
