,genCQ,expertCQ,cos_score
0,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",How often are which empirical methods used?,0.7073
1,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",How many different empirical methods are used per publication?,0.6722
2,What software engineering processes are frequently studied using empirical methods?,How often are which empirical methods used?,0.6695
3,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",Which methods are used to synthesize evidence from data of different empirical methods?,0.6501
4,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",How often are which empirical methods used over time?,0.6445
5,What are the different ways in which empirical studies in Requirements Engineering address software project management?,How many empirical studies are by authors working for large software development companies?,0.6434
6,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",How do the authors justify the selection and combination of empirical methods and design elements?,0.6424
7,How do empirical studies in Requirements Engineering measure software productivity?,How many empirical studies are by authors working for large software development companies?,0.6253
8,What software engineering processes are frequently studied using empirical methods?,How often are which empirical methods used over time?,0.6224
9,How is the research context typically described in empirical studies in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6219
10,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",How has the number of empirical methods used per publication evolved over time?,0.6136
11,How prevalent are industry-based empirical studies compared to academic studies in Requirements Engineering?,How many empirical studies are by authors working for large software development companies?,0.6072
12,What software engineering processes are frequently studied using empirical methods?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6056
13,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6050
14,What is the proportion of replicated studies in Requirements Engineering empirical research?,How many empirical studies are by authors working for large software development companies?,0.6034
15,How are empirical studies in Requirements Engineering categorized by research method?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6023
16,What software engineering processes are frequently studied using empirical methods?,How many different empirical methods are used per publication?,0.5986
17,How prevalent are industry-based empirical studies compared to academic studies in Requirements Engineering?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.5956
18,In what ways do empirical studies in Requirements Engineering aim to build a body of knowledge?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5895
19,How often do empirical studies in Requirements Engineering evaluate agile methodologies?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5892
20,What software engineering processes are frequently studied using empirical methods?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5883
21,How often are empirical studies in Requirements Engineering published in high-impact journals?,How has the proportion of papers that do not have an empirical study evolved over time?,0.5874
22,How is the research context typically described in empirical studies in Requirements Engineering?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5837
23,What software engineering processes are frequently studied using empirical methods?,How many empirical studies are by authors working for large software development companies?,0.5835
24,What software engineering processes are frequently studied using empirical methods?,How has the number of empirical methods used per publication evolved over time?,0.5832
25,How often do empirical studies in Requirements Engineering evaluate agile methodologies?,How many empirical studies are by authors working for large software development companies?,0.5831
26,How do authors in Requirements Engineering empirical studies justify their hypotheses?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5819
27,How are experimental designs typically structured in Requirements Engineering empirical studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5772
28,How often do empirical studies in Requirements Engineering report on the generalizability of their findings?,How many empirical studies are by authors working for large software development companies?,0.5769
29,How frequently are longitudinal studies conducted in empirical Requirements Engineering research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5767
30,What kinds of data analysis techniques are commonly used in Requirements Engineering empirical research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5766
31,"What types of empirical methods (e.g., case study, experiment) are most commonly used in Requirements Engineering research?",What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5765
32,How frequently are longitudinal studies conducted in empirical Requirements Engineering research?,How often are which empirical methods used over time?,0.5755
33,How often do empirical studies in Requirements Engineering evaluate agile methodologies?,How often are which empirical methods used?,0.5740
34,How often are empirical studies in Requirements Engineering published in high-impact journals?,How has the number of empirical methods used per publication evolved over time?,0.5715
35,How are qualitative research methods employed in empirical Requirements Engineering studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5713
36,How do authors in Requirements Engineering empirical studies justify their hypotheses?,How many empirical studies are by authors working for large software development companies?,0.5711
37,How often do empirical studies in Requirements Engineering evaluate agile methodologies?,How often are which empirical methods used over time?,0.5696
38,What are the main conclusions drawn from case studies in Requirements Engineering research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5692
39,How is empirical research in Requirements Engineering disseminated across different types of publications?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5689
40,What are the typical sample sizes used in empirical Requirements Engineering studies?,How many empirical studies are by authors working for large software development companies?,0.5670
41,What are the typical analysis techniques used to handle empirical data in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5667
42,How is empirical research in Requirements Engineering disseminated across different types of publications?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5665
43,What are the common types of evaluation methods used in empirical studies in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5656
