,genCQs,best_expertCQs,best_cos_score
0,What is the state of the art in empirical studies of Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5308
1,Which era of RE research has seen the maximum progress in terms of new advances?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.6131
2,Which country is frequently involved in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.584
3,In which era did these countries show maximum progress in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5197
4,In which context have empirical studies of RE been carried out over the period of RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7155
5,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
6,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
7,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
8,"How are research methods, types, interventions, and domains related to RE core areas?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.546
9,Which research method is frequently used in empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6846
10,What kind of research participants are frequently involved in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6033
11,Which data collection method is frequently used in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5807
12,What is the frequency of different research types in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6344
13,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
14,What are some significant trends and opportunities for future research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6092
15,What are the major focus areas of empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.712
16,What are the emerging areas in RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7306
17,How has the topic of requirements validation and verification trended in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4846
18,What is the proportion of RE empirical studies using case studies compared to those using experiments?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7283
19,Which RE sub-areas exhibit a decreasing trend in empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7194
20,How often do practitioners get involved in RE empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6355
21,What are the current challenges and issues faced by practitioners in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4368
22,How can existing empirical RE studies be evaluated in more real contexts and scenarios?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6572
23,"What is the impact of guidelines, techniques, and processes proposed in RE empirical research?",What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.669
24,How useful are the frameworks and models developed from RE empirical research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6056
25,How has privacy been addressed in RE empirical research?,How has the proportion of empirical studies evolved over time?,0.501
26,What is the state of knowledge about the appropriate use of RE artifacts in practice?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4547
27,How have contingency models influenced the selection of RE techniques?,How many theories from the SE and RE are there?,0.4635
28,How does empirical knowledge support the foundation of decisions in RE?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5754
29,How consistently is empirically validated knowledge transferred to RE practice?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.454
30,How have new RE frameworks or techniques been validated in empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6705
31,How has the involvement of real-world practitioners influenced the outcomes of RE empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4952
32,What is the global distribution of empirical RE research publications?,How has the number of empirical methods used per publication evolved over time?,0.6751
33,How have systemic reviews been used to synthesize RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6294
34,How do different empirical research strategies apply to RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6509
