,genCQs,best_expertCQs,best_cos_score
0,What is the state of the art in empirical studies of Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5308
1,What is the strength of empirical evidence in empirical requirement engineering literature?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5524
2,Which era of RE research has shown maximum progress in terms of new advances?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6056
3,"Which country is frequently involved in RE research, and in which era did these countries show maximum progress?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.5557
4,In which context have these empirical studies of RE been carried out over the period of RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.713
5,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
6,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
7,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
8,"How are the research method, type, intervention, and domains related to RE core areas?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.542
9,Which research method is frequently used in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5787
10,What kind of research participants are frequently involved in primary empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6961
11,Which data collection method is frequently used in the investigation of research in primary RE studies?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.6116
12,What is the frequency of different research types of primary RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6251
13,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
14,What are the major trends identified in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7414
15,What future research directions are suggested by the trends in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.695
16,Which RE sub-areas require more attention for empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7232
17,How does the empirical work in requirements validation and verification compare to other RE sub-areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.4815
18,What empirical evidence is available for non-functional requirements in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4736
19,What practical considerations of RE have been mostly researched through empirical methods?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6794
20,How has the interest in proposing new RE interventions been reflected in empirical studies?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5213
21,What are the key challenges identified in conducting empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6387
22,How has the involvement of practitioners in RE empirical research evolved?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6417
23,What are the emerging areas in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7182
24,What is the state of empirical research in requirements elicitation?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5457
25,What are the empirical research trends in requirements analysis?,How many empirical studies are by authors working for large software development companies?,0.5423
26,How has the empirical investigation of RE processes evolved?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6006
27,What interventions have been evaluated in the domain of requirements specification?,"""Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?""",0.4274
28,What trends are observed in empirical research regarding requirements planning and management?,How many empirical studies are by authors working for large software development companies?,0.5072
29,How has the empirical study of practical considerations of RE evolved?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.5387
30,What is the scope of empirical research in requirements negotiation?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5159
31,How frequently is requirements prioritization empirically investigated?,How often are which empirical methods used?,0.4912
32,What trends are observed in empirical studies of requirements traceability?,How has the reporting of the tasks evolved over time?,0.4277
33,How is requirements modeling addressed empirically in RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5522
