,genCQ,expertCQ,cos_score
0,How are users characterized in the context of Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.7614
1,How are interaction techniques categorized in Human-Computer Interaction?,What is a human–computer interaction?,0.7528
2,What are the primary components of a Human-Computer Interaction system?,What does make up the user interface of an interactive computer system?,0.7393
3,What are the primary components of a Human-Computer Interaction system?,What is a human–computer interaction?,0.7371
4,How are interaction techniques categorized in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.7205
5,How are collaboration and social interaction supported in Human-Computer Interaction systems?,How can a user interact in human–computer interactions?,0.7190
6,How are users characterized in the context of Human-Computer Interaction?,What is a human–computer interaction?,0.7111
7,How is feedback provided and utilized within a Human-Computer Interaction system?,How can a user interact in human–computer interactions?,0.7107
8,What are the primary components of a Human-Computer Interaction system?,What is a complex interactive computer system?,0.7061
9,What are the primary components of a Human-Computer Interaction system?,What is an interactive computer system?,0.7025
10,How are collaboration and social interaction supported in Human-Computer Interaction systems?,What is a human–computer interaction?,0.7014
11,How is feedback provided and utilized within a Human-Computer Interaction system?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.6948
12,How is feedback provided and utilized within a Human-Computer Interaction system?,What does make up the user interface of an interactive computer system?,0.6935
13,How is feedback provided and utilized within a Human-Computer Interaction system?,How is a user input processed by an interactive computer system?,0.6905
14,What are the primary components of a Human-Computer Interaction system?,How can a user interact in human–computer interactions?,0.6884
15,What are the essential types of tasks users perform in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6863
16,How is feedback provided and utilized within a Human-Computer Interaction system?,What is an interactive computer system?,0.6765
17,What are the essential types of tasks users perform in Human-Computer Interaction?,What is a human–computer interaction?,0.6735
18,Which interface modalities are commonly used in Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.6731
19,What are the typical environmental contexts affecting Human-Computer Interaction?,What is a human–computer interaction?,0.6721
20,What are the key principles of user-centered design in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6593
21,What are the typical environmental contexts affecting Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6568
22,How are interaction techniques categorized in Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.6566
23,How is feedback provided and utilized within a Human-Computer Interaction system?,What is a human–computer interaction?,0.6537
24,How are users characterized in the context of Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.6522
25,How is usability defined and measured within Human-Computer Interaction?,What is a human–computer interaction?,0.6489
26,How do cognitive processes impact Human-Computer Interaction?,What is a human–computer interaction?,0.6443
27,How is feedback provided and utilized within a Human-Computer Interaction system?,What is a complex interactive computer system?,0.6417
28,How do cognitive processes impact Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6381
29,How is feedback provided and utilized within a Human-Computer Interaction system?,Why does a user intentionally interact with an interactive computer system?,0.6359
30,Which interface modalities are commonly used in Human-Computer Interaction?,What is a human–computer interaction?,0.6352
31,How is feedback provided and utilized within a Human-Computer Interaction system?,How does a user receive an output from an interactive computer system?,0.6331
32,What are the key principles of user-centered design in Human-Computer Interaction?,What is a human–computer interaction?,0.6306
33,How are users characterized in the context of Human-Computer Interaction?,What is a User?,0.6301
34,How are users characterized in the context of Human-Computer Interaction?,Why does a user intentionally interact with an interactive computer system?,0.6301
35,How are interaction techniques categorized in Human-Computer Interaction?,What is a complex interactive computer system?,0.6279
36,How is feedback provided and utilized within a Human-Computer Interaction system?,What is an interactive software system?,0.6219
37,Which interface modalities are commonly used in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6195
38,How are users characterized in the context of Human-Computer Interaction?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.6147
39,What roles do emotions and affective responses play in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6140
40,How are interaction techniques categorized in Human-Computer Interaction?,What is an interactive computer system?,0.6139
41,How are collaboration and social interaction supported in Human-Computer Interaction systems?,What is a complex interactive computer system?,0.6057
42,What are the primary components of a Human-Computer Interaction system?,What is an interactive software system?,0.6053
43,What roles do emotions and affective responses play in Human-Computer Interaction?,What is a human–computer interaction?,0.6045
44,How are collaboration and social interaction supported in Human-Computer Interaction systems?,What is an interactive computer system?,0.6013
45,What are the methods for prototyping and testing interface designs in Human-Computer Interaction?,What is a human–computer interaction?,0.5989
46,How are collaboration and social interaction supported in Human-Computer Interaction systems?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.5981
47,How are users characterized in the context of Human-Computer Interaction?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5976
48,What are the common evaluation methods used in Human-Computer Interaction studies?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.5954
49,How are collaboration and social interaction supported in Human-Computer Interaction systems?,What does make up the user interface of an interactive computer system?,0.5924
50,How is feedback provided and utilized within a Human-Computer Interaction system?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5913
51,What are the methods for prototyping and testing interface designs in Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.5889
52,What are the essential types of tasks users perform in Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.5886
53,How does accessibility influence the design of Human-Computer Interaction systems?,How can a user interact in human–computer interactions?,0.5846
