,genCQ,expertCQ,cos_score
0,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,What is a human–computer interaction?,0.6270
1,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,What does make up the user interface of an interactive computer system?,0.5881
2,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,How can a user interact in human–computer interactions?,0.5825
3,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,How can a user interact in human–computer interactions?,0.5799
4,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,What does make up the user interface of an interactive computer system?,0.5536
5,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,What is a complex interactive computer system?,0.5515
6,What are the different types of interaction modes in HCI?,What does make up the user interface of an interactive computer system?,0.5316
7,What are the different types of interaction modes in HCI?,What is a complex interactive computer system?,0.5257
8,How can multimodal systems be represented and reasoned about in an HCI ontology?,What is a complex interactive computer system?,0.5247
9,What are the different types of interaction modes in HCI?,What is a human–computer interaction?,0.5230
10,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.5161
11,What are the different types of interaction modes in HCI?,How can a user interact in human–computer interactions?,0.5150
12,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,What is a human–computer interaction?,0.5098
13,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,What is an interactive computer system?,0.5079
14,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,How is a user input processed by an interactive computer system?,0.4934
15,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,What is a complex interactive computer system?,0.4797
16,How can multimodal systems be represented and reasoned about in an HCI ontology?,What does make up the user interface of an interactive computer system?,0.4780
17,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,What is an interactive computer system?,0.4769
18,How can multimodal systems be represented and reasoned about in an HCI ontology?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4759
19,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,What is an interactive software system?,0.4737
20,How can multimodal systems be represented and reasoned about in an HCI ontology?,What is an interactive computer system?,0.4724
21,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4722
22,How can multimodal systems be represented and reasoned about in an HCI ontology?,How can a user interact in human–computer interactions?,0.4700
23,"What relationships exist between interaction components like mode, modality, and medium in HCI?",What does make up the user interface of an interactive computer system?,0.4637
24,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,Why does a user intentionally interact with an interactive computer system?,0.4628
25,What are the different types of interaction modes in HCI?,What is an interactive computer system?,0.4608
26,How can multimodal systems be represented and reasoned about in an HCI ontology?,What is an interactive software system?,0.4602
27,How are input and output modalities defined and represented in an HCI ontology?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4548
28,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,What is an interactive software system?,0.4496
29,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",What does make up the user interface of an interactive computer system?,0.4480
30,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4475
31,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,How can a user interact in human–computer interactions?,0.4439
32,How can multimodal systems be represented and reasoned about in an HCI ontology?,What is a human–computer interaction?,0.4398
33,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",How can a user interact in human–computer interactions?,0.4372
34,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",What does make up the user interface of an interactive computer system?,0.4356
35,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,Why does a user intentionally interact with an interactive computer system?,0.4329
36,What role do physical devices play in HCI and how are they categorized in the ontology?,What does make up the user interface of an interactive computer system?,0.4296
37,What role do physical devices play in HCI and how are they categorized in the ontology?,What is a complex interactive computer system?,0.4256
38,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,What does make up the user interface of an interactive computer system?,0.4233
39,What role do physical devices play in HCI and how are they categorized in the ontology?,What is a human–computer interaction?,0.4211
40,How can multimodal systems be represented and reasoned about in an HCI ontology?,Why does a user intentionally interact with an interactive computer system?,0.4199
41,What are the different types of interaction modes in HCI?,What is an interactive software system?,0.4190
42,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,What does make up a complex user participation?,0.4180
43,"What relationships exist between interaction components like mode, modality, and medium in HCI?",How can a user interact in human–computer interactions?,0.4165
44,"What relationships exist between interaction components like mode, modality, and medium in HCI?",What is a complex interactive computer system?,0.4163
45,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",What is a human–computer interaction?,0.4138
46,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?",What does make up the user interface of an interactive computer system?,0.4137
47,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,How does a user receive an output from an interactive computer system?,0.4109
48,How can multimodal systems be represented and reasoned about in an HCI ontology?,How is a user input processed by an interactive computer system?,0.4059
49,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4032
50,"What relationships exist between interaction components like mode, modality, and medium in HCI?",What is a human–computer interaction?,0.4004
51,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",What is a complex interactive computer system?,0.3948
52,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3945
53,How can multimodal systems be represented and reasoned about in an HCI ontology?,What does make up a complex user participation?,0.3926
54,How can multimodal systems be represented and reasoned about in an HCI ontology?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3921
55,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,How is a user input processed by an interactive computer system?,0.3913
56,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?","Considering intentionality, how can a user interact with an interactive computer system?",0.3894
57,What role do physical devices play in HCI and how are they categorized in the ontology?,What is an interactive computer system?,0.3888
58,How are input and output modalities defined and represented in an HCI ontology?,How is a user input processed by an interactive computer system?,0.3887
59,How are input and output modalities defined and represented in an HCI ontology?,How does a user receive an output from an interactive computer system?,0.3887
60,What are the different types of interaction modes in HCI?,What does make up a complex user participation?,0.3877
61,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,How can a user interact in human–computer interactions?,0.3872
62,What are the different types of interaction modes in HCI?,Why does a user intentionally interact with an interactive computer system?,0.3862
63,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3850
64,What kinds of inference mechanisms are used to adapt user interfaces in HCI?,What does make up a complex user participation?,0.3822
65,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,What is a human–computer interaction?,0.3818
66,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3809
67,What are the different types of interaction modes in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3783
68,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3738
69,What are the different types of interaction modes in HCI?,How is a user input processed by an interactive computer system?,0.3728
70,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3728
71,"What relationships exist between interaction components like mode, modality, and medium in HCI?",What is an interactive computer system?,0.3718
72,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3698
73,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",What is an interactive computer system?,0.3697
74,"What are the competency levels for different user abilities (e.g., visual, auditory, motor) in an HCI ontology?",What does make up the user interface of an interactive computer system?,0.3694
75,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?",How can a user interact in human–computer interactions?,0.3688
76,What role do physical devices play in HCI and how are they categorized in the ontology?,How can a user interact in human–computer interactions?,0.3653
77,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,What does make up a complex user participation?,0.3649
78,"What are the competency levels for different user abilities (e.g., visual, auditory, motor) in an HCI ontology?",What is a human–computer interaction?,0.3628
79,What are the different types of interaction modes in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3611
80,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",What is an interactive computer system?,0.3581
81,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",What does make up a complex user participation?,0.3578
82,How can multimodal systems be represented and reasoned about in an HCI ontology?,How does a user receive an output from an interactive computer system?,0.3565
83,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",What is a complex interactive computer system?,0.3551
84,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?","Considering intentionality, how can a user interact with an interactive computer system?",0.3540
85,How can multimodal systems be represented and reasoned about in an HCI ontology?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3534
86,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3512
87,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3508
88,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,Why does a user intentionally interact with an interactive computer system?,0.3506
89,"What are the competency levels for different user abilities (e.g., visual, auditory, motor) in an HCI ontology?",What is a complex interactive computer system?,0.3492
90,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",What is an interactive software system?,0.3481
91,How can multimodal systems be represented and reasoned about in an HCI ontology?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3478
92,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,What is an interactive software system?,0.3454
93,How are input and output modalities defined and represented in an HCI ontology?,What does make up the user interface of an interactive computer system?,0.3435
94,How are input and output modalities defined and represented in an HCI ontology?,What is a complex interactive computer system?,0.3394
95,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3381
96,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",How is a user input processed by an interactive computer system?,0.3368
97,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,What is an interactive computer system?,0.3363
98,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?","Considering the human–computer interaction, how can a user participation cause another user participation?",0.3347
99,"What are the competency levels for different user abilities (e.g., visual, auditory, motor) in an HCI ontology?",How can a user interact in human–computer interactions?,0.3341
100,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,What is a complex interactive computer system?,0.3304
101,What are the criteria for selecting appropriate interaction modalities for users with disabilities?,What is a complex interactive computer system?,0.3281
102,How can the adaptation rules for user interfaces be defined using ontologies and SWRL?,What does make up the user interface of an interactive computer system?,0.3281
103,"What relationships exist between interaction components like mode, modality, and medium in HCI?","Considering intentionality, how can a user interact with an interactive computer system?",0.3278
104,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?","Considering intentionality, how can a user interact with an interactive computer system?",0.3269
105,What are the different types of interaction modes in HCI?,How does a user receive an output from an interactive computer system?,0.3260
106,What role do physical devices play in HCI and how are they categorized in the ontology?,What is an interactive software system?,0.3250
107,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,What does make up the user interface of an interactive computer system?,0.3248
108,"What are the competency levels for different user abilities (e.g., visual, auditory, motor) in an HCI ontology?",What is an interactive computer system?,0.3227
109,"What are the competency levels for different user abilities (e.g., visual, auditory, motor) in an HCI ontology?",How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.3210
110,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",What is an interactive software system?,0.3199
111,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,What is an interactive computer system?,0.3197
112,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?",What is an interactive software system?,0.3185
113,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",Why does a user intentionally interact with an interactive computer system?,0.3185
114,"What relationships exist between interaction components like mode, modality, and medium in HCI?",How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3174
115,How can context features and situational statements be integrated into the ontology for ubiquitous computing applications?,What is a human–computer interaction?,0.3166
116,"What relationships exist between interaction components like mode, modality, and medium in HCI?",What does make up a complex user participation?,0.3164
117,"What relationships exist between interaction components like mode, modality, and medium in HCI?",What is an interactive software system?,0.3155
118,"What relationships exist between interaction components like mode, modality, and medium in HCI?",Why does a user intentionally interact with an interactive computer system?,0.3149
119,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?",What does make up a complex user participation?,0.3142
120,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.3137
121,"What relationships exist between interaction components like mode, modality, and medium in HCI?",How is a user input processed by an interactive computer system?,0.3129
122,What are the essential components of an interaction ontology in Human-Computer Interaction (HCI)?,How does a user receive an output from an interactive computer system?,0.3124
123,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",What is a human–computer interaction?,0.3105
124,How are input and output modalities defined and represented in an HCI ontology?,What is an interactive computer system?,0.3081
125,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?",What is a human–computer interaction?,0.3081
126,What are the different types of interaction modes in HCI?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3057
127,"How can user characteristics (e.g., sensory and motor abilities) be represented in an HCI ontology?",How does a user receive an output from an interactive computer system?,0.3054
128,"How can the ontology be extended to incorporate user preferences, skills, and other characteristics for personalized interface adaptation?",What is an interactive computer system?,0.3039
129,What role do physical devices play in HCI and how are they categorized in the ontology?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3038
130,"How is the concept of ""visual ability"" represented and used for interface adaptation in the ontology?",How can a user interact in human–computer interactions?,0.3021
