,genCQ,expertCQ,cos_score
0,What are the primary components of an interactive system in Human-Computer Interaction?,What does make up the user interface of an interactive computer system?,0.8370
1,What are the primary components of an interactive system in Human-Computer Interaction?,What is an interactive computer system?,0.8227
2,What are the primary components of an interactive system in Human-Computer Interaction?,What is a complex interactive computer system?,0.7811
3,What are the primary components of an interactive system in Human-Computer Interaction?,What is an interactive software system?,0.7475
4,What are the primary components of an interactive system in Human-Computer Interaction?,What is a human–computer interaction?,0.7055
5,What are the primary components of an interactive system in Human-Computer Interaction?,How can a user interact in human–computer interactions?,0.6918
6,What are the primary components of an interactive system in Human-Computer Interaction?,How is a user input processed by an interactive computer system?,0.6873
7,What are the primary components of an interactive system in Human-Computer Interaction?,Why does a user intentionally interact with an interactive computer system?,0.6614
8,What are the primary components of an interactive system in Human-Computer Interaction?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.6606
9,What are the primary components of an interactive system in Human-Computer Interaction?,"Considering intentionality, how can a user interact with an interactive computer system?",0.6547
10,What are the primary components of an interactive system in Human-Computer Interaction?,How does a user receive an output from an interactive computer system?,0.5640
11,How are multimodal interfaces defined and utilized in HCI?,What does make up the user interface of an interactive computer system?,0.5602
12,How are multimodal interfaces defined and utilized in HCI?,What is a human–computer interaction?,0.5186
13,How are multimodal interfaces defined and utilized in HCI?,What is a complex interactive computer system?,0.5170
14,What are the different types of interaction modalities used in HCI?,What does make up the user interface of an interactive computer system?,0.5136
15,What are the different types of interaction modalities used in HCI?,What is a complex interactive computer system?,0.5079
16,What are the different types of interaction modalities used in HCI?,What is a human–computer interaction?,0.5005
17,What are the different types of interaction modalities used in HCI?,How can a user interact in human–computer interactions?,0.4934
18,What are the key properties that link users to interaction modes and modalities?,What does make up the user interface of an interactive computer system?,0.4904
19,How does the sensory and motor capacity of a user influence the selection of input and output modalities?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4885
20,What are the key properties that link users to interaction modes and modalities?,How can a user interact in human–computer interactions?,0.4872
21,How are multimodal interfaces defined and utilized in HCI?,What is an interactive computer system?,0.4772
22,How do different interface parameters (like text size and audio volume) affect user interaction?,What does make up the user interface of an interactive computer system?,0.4768
23,How are multimodal interfaces defined and utilized in HCI?,How can a user interact in human–computer interactions?,0.4765
24,What are the primary components of an interactive system in Human-Computer Interaction?,What does make up a complex user participation?,0.4705
25,What are the primary components of an interactive system in Human-Computer Interaction?,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,0.4651
26,How does the sensory and motor capacity of a user influence the selection of input and output modalities?,How is a user input processed by an interactive computer system?,0.4647
27,How are user characteristics represented in HCI ontologies?,What does make up the user interface of an interactive computer system?,0.4627
28,What are the key properties that link users to interaction modes and modalities?,What does make up a complex user participation?,0.4587
29,What are the primary components of an interactive system in Human-Computer Interaction?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.4566
30,What are the different types of interaction modalities used in HCI?,What is an interactive computer system?,0.4555
31,How can reasoning in ontologies be used to generate adaptive user interfaces?,What does make up the user interface of an interactive computer system?,0.4507
32,How are multimodal interfaces defined and utilized in HCI?,What is an interactive software system?,0.4462
33,How are multimodal interfaces defined and utilized in HCI?,Why does a user intentionally interact with an interactive computer system?,0.4329
34,How are user characteristics represented in HCI ontologies?,What is a User?,0.4306
35,How are multimodal interfaces defined and utilized in HCI?,How is a user input processed by an interactive computer system?,0.4295
36,How can reasoning in ontologies be used to generate adaptive user interfaces?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4270
37,What are the common tools and frameworks used in the development of HCI ontologies?,What is an interactive software system?,0.4252
38,How are multimodal interfaces defined and utilized in HCI?,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,0.4227
39,How are user characteristics represented in HCI ontologies?,What does make up a complex user participation?,0.4189
40,What are some examples of context-aware adaptation techniques in HCI?,How can a user interact in human–computer interactions?,0.4186
41,What are the common tools and frameworks used in the development of HCI ontologies?,What is a complex interactive computer system?,0.4125
42,How can ontologies help in adapting user interfaces for users with disabilities?,How can a user interact in human–computer interactions?,0.4106
43,What are the different types of interaction modalities used in HCI?,What is an interactive software system?,0.4102
44,How are multimodal interfaces defined and utilized in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.4101
45,How can ontologies help in adapting user interfaces for users with disabilities?,What does make up the user interface of an interactive computer system?,0.4052
46,How are user characteristics represented in HCI ontologies?,How can a user interact in human–computer interactions?,0.4047
47,How does the sensory and motor capacity of a user influence the selection of input and output modalities?,What does make up the user interface of an interactive computer system?,0.4037
48,How can reasoning in ontologies be used to generate adaptive user interfaces?,What is an interactive software system?,0.3970
49,What are the key properties that link users to interaction modes and modalities?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3963
50,What are the key properties that link users to interaction modes and modalities?,"Considering the human–computer interaction, how can a user participation cause another user participation?",0.3953
51,How do different interface parameters (like text size and audio volume) affect user interaction?,How can a user interact in human–computer interactions?,0.3945
52,What are the key properties that link users to interaction modes and modalities?,Why does a user intentionally interact with an interactive computer system?,0.3940
53,How are multimodal interfaces defined and utilized in HCI?,How does a user receive an output from an interactive computer system?,0.3884
54,How can reasoning in ontologies be used to generate adaptive user interfaces?,How can a user interact in human–computer interactions?,0.3882
55,How can ontologies help in adapting user interfaces for users with disabilities?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3872
56,How does the sensory and motor capacity of a user influence the selection of input and output modalities?,How does a user receive an output from an interactive computer system?,0.3872
57,What methodologies are used for creating and maintaining HCI ontologies?,What is a complex interactive computer system?,0.3845
58,What are the common tools and frameworks used in the development of HCI ontologies?,What is a human–computer interaction?,0.3816
59,How can reasoning in ontologies be used to generate adaptive user interfaces?,What is an interactive computer system?,0.3793
60,What are the key properties that link users to interaction modes and modalities?,What is a human–computer interaction?,0.3786
61,How does the sensory and motor capacity of a user influence the selection of input and output modalities?,How can a user interact in human–computer interactions?,0.3771
62,What are some examples of context-aware adaptation techniques in HCI?,"Considering intentionality, how can a user interact with an interactive computer system?",0.3752
63,How are user characteristics represented in HCI ontologies?,What is an interactive software system?,0.3735
64,What methodologies are used for creating and maintaining HCI ontologies?,What is an interactive software system?,0.3719
65,What are the common tools and frameworks used in the development of HCI ontologies?,What is an interactive computer system?,0.3706
66,What are the key properties that link users to interaction modes and modalities?,What is a complex interactive computer system?,0.3695
67,What are some examples of context-aware adaptation techniques in HCI?,What does make up the user interface of an interactive computer system?,0.3692
68,How are user characteristics represented in HCI ontologies?,What is a complex interactive computer system?,0.3679
69,What are the common tools and frameworks used in the development of HCI ontologies?,What does make up the user interface of an interactive computer system?,0.3660
70,What are the different types of interaction modalities used in HCI?,Why does a user intentionally interact with an interactive computer system?,0.3659
71,How are user characteristics represented in HCI ontologies?,What is an interactive computer system?,0.3657
72,How can reasoning in ontologies be used to generate adaptive user interfaces?,How is a user input processed by an interactive computer system?,0.3654
