,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,What are the successful commercial products derived from Requirements Engineering research?,0.3243
1,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,How are qualitative methods used in Requirements Engineering research?,0.4702
2,How often are standards used to describe the theories incorporated?,What are the key theories in Requirements Engineering?,0.4315
3,How many different empirical methods are used per publication?,What methodologies are most commonly used in Requirements Engineering research?,0.426
4,Have the authors done a systematic review of related work?,Which authors collaborate frequently in Requirements Engineering research?,0.48
5,How has the the reporting of the population evolved over time?,Which challenges have been consistently difficult to address over the past decade?,0.3023
6,Does the research design allow for efficient reuse of study (results) by other researchers?,Which authors collaborate frequently in Requirements Engineering research?,0.3835
7,"How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?",What new methodologies have been introduced in the last five years?,0.4167
8,How often are which empirical methods used over time?,What new methodologies have been introduced in the last five years?,0.4818
9,"How has building on previous research data and results, including from other disciplines, evolved over time?",How has the funding trend for Requirements Engineering research changed over time?,0.5414
10,How often are those who conduct the studies also the authors of the papers?,Which authors collaborate frequently in Requirements Engineering research?,0.4885
11,How often are which empirical methods used?,What new methodologies have been introduced in the last five years?,0.4349
12,"Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?",Which authors collaborate frequently in Requirements Engineering research?,0.3803
13,"How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?",How has the funding trend for Requirements Engineering research changed over time?,0.4717
14,How do the authors justify the selection and combination of empirical methods and design elements?,Which authors collaborate frequently in Requirements Engineering research?,0.4609
15,How has the reporting of the subjects evolved over time?,Which challenges have been consistently difficult to address over the past decade?,0.403
16,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,Which authors collaborate frequently in Requirements Engineering research?,0.4205
17,Do the authors report the selected context of their study with specific characteristics?,Which authors collaborate frequently in Requirements Engineering research?,0.4389
18,How has the reporting of the tasks evolved over time?,How have methodologies in Requirements Engineering evolved over the years?,0.4486
19,"Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?",Which Requirements Engineering research works have influenced industry practices?,0.4737
20,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,What new methodologies have been introduced in the last five years?,0.6607
21,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.3993
22,What types of threats to validity do the authors report?,What are the most impactful outcomes of Requirements Engineering research?,0.2922
23,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,How have methodologies in Requirements Engineering evolved over the years?,0.4576
24,How do the authors justify preventing bias in the study results?,How does funding impact the research outputs in Requirements Engineering?,0.3429
25,How often are which statistical methods used?,What methodologies are most commonly used in Requirements Engineering research?,0.4708
26,How has the number of empirical methods used per publication evolved over time?,What new methodologies have been introduced in the last five years?,0.5068
27,How have the proportions of case studies and action research in the empirical methods used evolved over time?,Which Requirements Engineering research works have influenced industry practices?,0.4878
28,"For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?",Which authors collaborate frequently in Requirements Engineering research?,0.4517
29,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.3988
30,How has the use of statistical methods evolved over time?,What new methodologies have been introduced in the last five years?,0.5139
31,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,What new methodologies have been introduced in the last five years?,0.4081
32,"How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?",How has the funding trend for Requirements Engineering research changed over time?,0.3854
33,How has the use of language (academic vs. plain) in scientific publications evolved over time?,What new methodologies have been introduced in the last five years?,0.3448
34,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,Which authors collaborate frequently in Requirements Engineering research?,0.3656
35,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,Which Requirements Engineering research works have influenced industry practices?,0.4585
36,How has the proportion of empirical studies evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.4701
37,"Do the authors use standards to describe the theories incorporated (used, tested, modified, formulated)?",What new methodologies have been introduced in the last five years?,0.4002
38,How has the proportion of studies by authors working for large software development companies evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.5694
39,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,Which software tools have the highest adoption in academic research on Requirements Engineering?,0.4057
40,How has the proportion of papers that do not have an empirical study evolved over time?,What are the most cited papers in Requirements Engineering?,0.4341
41,"How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?",Which Requirements Engineering research works have influenced industry practices?,0.4605
42,Do the authors use other channels to publish their results for making them available to industrial users?,Which authors collaborate frequently in Requirements Engineering research?,0.3901
43,"How has the proportion of theories from other disciplines, from other disciplines with adaptions for the SE (RE), and from SE (RE) itself evolved over time?",How do educational institutions incorporate industry trends into their RE curriculum?,0.3452
44,How many empirical studies are by authors working for large software development companies?,Which authors collaborate frequently in Requirements Engineering research?,0.5476
45,How has the reporting of the context evolved over time?,How have methodologies in Requirements Engineering evolved over the years?,0.3536
46,How has the reporting of the objects of study / treatments evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.4431
47,Do authors report that assumptions and limitations of statistical methods are met before using them?,What role do quantitative methods play in Requirements Engineering?,0.3766
48,How has the use of triangulation for research design evolved over time?,What new methodologies have been introduced in the last five years?,0.4292
49,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,Which authors collaborate frequently in Requirements Engineering research?,0.3524
50,How has the proportion of replications evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.2487
51,How has the reporting of threats to validity evolved over time?,Which challenges have been consistently difficult to address over the past decade?,0.3553
52,How many studies incorporate theories?,Which types of research in Requirements Engineering attract the most investment?,0.3929
53,How has the definition of the population evolved over time?,How has the use of technology in Requirements Engineering evolved?,0.2185
54, How do the authors justify the lack of a proper study?,Which authors collaborate frequently in Requirements Engineering research?,0.3228
55,How has the use of power analysis and effect size estimation evolved over time?,How has the funding trend for Requirements Engineering research changed over time?,0.3402
56,Which methods are used to synthesize evidence from data of different empirical methods?,What methodologies are most commonly used in Requirements Engineering research?,0.3958
57,Do the authors use a well defined taxonomy for their research design?,Which authors collaborate frequently in Requirements Engineering research?,0.4722
