,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How are requirements analyzed and validated in empirical studies?,0.4804
1,How often are which empirical methods used over time?,Which research methods are most frequently used in Requirements Engineering studies?,0.5115
2,Which sub-fields of SE and RE do the empirical studies cover over time?,Which sources of data are commonly used in empirical Requirements Engineering studies?,0.5599
3, How do the authors justify the lack of a proper study?,How are requirements analyzed and validated in empirical studies?,0.4202
4,How has the proportion of papers that do not have an empirical study evolved over time?,What are the most-cited papers in Requirements Engineering?,0.4508
5,How many empirical studies are by authors working for large software development companies?,How are empirical studies in Requirements Engineering designed and conducted?,0.5556
6,How has the proportion of studies by authors working for large software development companies evolved over time?,Who are the most prominent researchers in Requirements Engineering?,0.5105
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How has the focus of Requirements Engineering research evolved over time?,0.4888
8,How do the authors justify the selection and combination of empirical methods and design elements?,How are requirements analyzed and validated in empirical studies?,0.6082
9,How often are which empirical methods used?,What are the key methodologies used in empirical research in Requirements Engineering?,0.5676
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How are requirements analyzed and validated in empirical studies?,0.5061
11,How has the proportion of replications evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.2296
12,How has the use of triangulation for research design evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.3935
13,How often are those who conduct the studies also the authors of the papers?,Who are the most prominent researchers in Requirements Engineering?,0.4088
14,How do the authors justify preventing bias in the study results?,How are requirements analyzed and validated in empirical studies?,0.3354
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How is empirical evidence used to inform Requirements Engineering practices?,0.3815
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,Which research methods are most frequently used in Requirements Engineering studies?,0.4538
17,How often are which statistical methods used?,Which research methods are most frequently used in Requirements Engineering studies?,0.5749
18,How has the use of statistical methods evolved over time?,Which research methods are most frequently used in Requirements Engineering studies?,0.4155
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How are requirements analyzed and validated in empirical studies?,0.4126
20,How has the definition of the population evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.2103
21,How has the use of power analysis and effect size estimation evolved over time?,How is Requirements Engineering impacted by project size and complexity?,0.4119
22,How has the reporting of threats to validity evolved over time?,How do researchers address security requirements in empirical Requirements Engineering studies?,0.3446
23,What types of threats to validity do the authors report?,How are requirements analyzed and validated in empirical studies?,0.3813
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,What theories underpin Requirements Engineering research?,0.4159
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,What role do case studies play in Requirements Engineering research?,0.5885
26,How has the reporting of the subjects evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.4266
27,How has the reporting of the objects of study / treatments evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.4178
28,How has the reporting of the tasks evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.468
29,How has the reporting of the setting evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.3817
30,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,How are requirements analyzed and validated in empirical studies?,0.4349
31,How has the the reporting of the population evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.2355
32,How has the reporting of the context evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.4145
33,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,How are requirements analyzed and validated in empirical studies?,0.3106
34,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,How are requirements analyzed and validated in empirical studies?,0.2896
35,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,How are requirements analyzed and validated in empirical studies?,0.3425
36,Do the authors report the selected context of their study with specific characteristics?,How are requirements analyzed and validated in empirical studies?,0.4789
37,Does the research design allow for efficient reuse of study (results) by other researchers?,Which research methods are most frequently used in Requirements Engineering studies?,0.4139
38,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",Which sources of data are commonly used in empirical Requirements Engineering studies?,0.4615
39,How has the reporting of research questions and answers evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.5118
40,How has the use of language (academic vs. plain) in scientific publications evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.3296
41,Do the authors use a well defined taxonomy for their research design?,Which research methods are most frequently used in Requirements Engineering studies?,0.4469
42,Do the authors use other channels to publish their results for making them available to industrial users?,How is Requirements Engineering research disseminated within the community?,0.3488
43,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",How are requirements analyzed and validated in empirical studies?,0.5176
44,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",How are requirements analyzed and validated in empirical studies?,0.5185
45,Have the authors done a systematic review of related work?,How are empirical studies in Requirements Engineering designed and conducted?,0.3576
46,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",What are the most significant findings in Requirements Engineering research over the past five years?,0.4243
47,How many publications are analyzed in (systematic literature) reviews?,What are the most-cited papers in Requirements Engineering?,0.4444
48,"""Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users, such as policy-makers, practitioners, and the general public?""",How are requirements analyzed and validated in empirical studies?,0.4238
49,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",Which research methods are most frequently used in Requirements Engineering studies?,0.3996
50,"""Do electronic resources (digital libraries and databases) provide all the functionalies that support the identification, selection, and retrieval of bibliographic and full-text information about SE research?""",Which sources of data are commonly used in empirical Requirements Engineering studies?,0.3313
51,Do the authors use multiple digital libraries including publications from SE and RE and related disciplines for (systematic literature) reviews?,Which research methods are most frequently used in Requirements Engineering studies?,0.3206
52,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,Which research methods are most frequently used in Requirements Engineering studies?,0.3796
53,Do the authors use (a common set of empirically derived) criteria to assess the quality of individual studies?,How are requirements analyzed and validated in empirical studies?,0.5669
54,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,How are requirements analyzed and validated in empirical studies?,0.5662
55,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,How are requirements analyzed and validated in empirical studies?,0.5442
56,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,How are requirements analyzed and validated in empirical studies?,0.5584
57,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,What are the key methodologies used in empirical research in Requirements Engineering?,0.5612
58,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,What are the key methodologies used in empirical research in Requirements Engineering?,0.6211
59,How has the use of conceptual and operational definitions for key constructs and variables evolved over time in empirical research in SE and RE?,What are the key methodologies used in empirical research in Requirements Engineering?,0.5377
60,How many different empirical methods are used per publication?,What are the key methodologies used in empirical research in Requirements Engineering?,0.5469
61,How has the number of empirical methods used per publication evolved over time?,What are the key methodologies used in empirical research in Requirements Engineering?,0.5177
62,Which methods are used to synthesize evidence from data of different empirical methods?,How are requirements analyzed and validated in empirical studies?,0.5787
63,How many studies incorporate theories?,What theories underpin Requirements Engineering research?,0.4898
64,How has the incorporation of theories in studies evolved over time?,What theories underpin Requirements Engineering research?,0.462
65,"""For which purpose do authors incorporate theories into their studies (use, testing, modification, formulation)?""",What theories underpin Requirements Engineering research?,0.5048
66,"""What is the proportion of theories from other disciplines, from other disciplines with adaptions for the SE and RE, and from SE and RE itself?""",What theories underpin Requirements Engineering research?,0.3421
67,"""How has the proportion of theories from other disciplines, from other disciplines with adaptions for the SE (RE), and from SE (RE) itself evolved over time?""",What theories underpin Requirements Engineering research?,0.3656
68,How many theories from the SE and RE are there?,What theories underpin Requirements Engineering research?,0.3687
69,How has the number of theories from SE and RE evolved over time?,How has the focus of Requirements Engineering research evolved over time?,0.346
70,"""On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])""",What theories underpin Requirements Engineering research?,0.3742
71,What is the proportion of each of the three levels of sophistication for theories from SE and RE?,What theories underpin Requirements Engineering research?,0.3537
72,How has the proportion of each of the three levels of sophistication for theories from SE and RE evolved over time?,What theories underpin Requirements Engineering research?,0.338
73,"""Do the authors use standards to describe the theories incorporated (used, tested, modified, formulated)?""",How are requirements analyzed and validated in empirical studies?,0.4175
74,How often are standards used to describe the theories incorporated?,How often are qualitative methods used in Requirements Engineering research?,0.4468
75,How has the use of standards to describe the theories incorporated evolved over time?,What theories underpin Requirements Engineering research?,0.4159
76,Do the authors refer to a reference (website or systematic review) that systematizes and characterizes the theory incorporated?,What theories underpin Requirements Engineering research?,0.3512
