,expertCQs,best_genCQs,best_cos_score
0,How has the proportion of empirical studies evolved over time?,How do empirical studies address requirements evolution?,0.5976
1,How often are which empirical methods used over time?,How often are field studies used in empirical Requirements Engineering research?,0.6237
2,Which sub-fields of SE and RE do the empirical studies cover over time?,How often are field studies used in empirical Requirements Engineering research?,0.6491
3, How do the authors justify the lack of a proper study?,What are the impacts of incomplete requirements according to empirical studies?,0.4442
4,How has the proportion of papers that do not have an empirical study evolved over time?,How often are field studies used in empirical Requirements Engineering research?,0.5524
5,How many empirical studies are by authors working for large software development companies?,What are the common sources of empirical data in Requirements Engineering studies?,0.5939
6,How has the proportion of studies by authors working for large software development companies evolved over time?,How do empirical research methods differ between academic and industry-based studies in Requirements Engineering?,0.5482
7,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",How do empirical studies address requirements evolution?,0.4897
8,How do the authors justify the selection and combination of empirical methods and design elements?,Which methods are most frequently used in empirical research in Requirements Engineering?,0.6074
9,How often are which empirical methods used?,Which methods are most frequently used in empirical research in Requirements Engineering?,0.6365
10,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",How do empirical studies address requirements evolution?,0.5606
11,How has the proportion of replications evolved over time?,How do empirical studies address requirements evolution?,0.3033
12,How has the use of triangulation for research design evolved over time?,How do empirical studies address requirements evolution?,0.3774
13,How often are those who conduct the studies also the authors of the papers?,How often are field studies used in empirical Requirements Engineering research?,0.4966
14,How do the authors justify preventing bias in the study results?,How do empirical studies handle conflicting requirements?,0.4016
15,How has the proportion of pure demonstrations (proof of concept) and simple experience reports (lessons learned) evolved over time?,How do empirical studies address requirements evolution?,0.3994
16,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,How often are mixed-method approaches used in empirical Requirements Engineering research?,0.4912
17,How often are which statistical methods used?,Which methods are most frequently used in empirical research in Requirements Engineering?,0.5353
18,How has the use of statistical methods evolved over time?,How has the use of qualitative methods in Requirements Engineering evolved over the years?,0.4198
19,Do authors report that assumptions and limitations of statistical methods are met before using them?,How do empirical studies handle conflicting requirements?,0.3915
20,How has the definition of the population evolved over time?,How do empirical studies address requirements evolution?,0.3273
21,How has the use of power analysis and effect size estimation evolved over time?,How do empirical studies address requirements evolution?,0.3334
22,How has the reporting of threats to validity evolved over time?,How are requirements validation techniques analyzed in empirical studies?,0.3641
23,What types of threats to validity do the authors report?,How are requirements validation techniques analyzed in empirical studies?,0.3856
24,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,How do empirical studies address requirements evolution?,0.4169
25,How have the proportions of case studies and action research in the empirical methods used evolved over time?,What role do case studies play in empirical Requirements Engineering research?,0.6623
26,How has the reporting of the subjects evolved over time?,How has the focus of empirical research topics in Requirements Engineering shifted over time?,0.3848
27,How has the reporting of the objects of study / treatments evolved over time?,How often are field studies used in empirical Requirements Engineering research?,0.4506
28,How has the reporting of the tasks evolved over time?,What are the key trends in empirical research in Requirements Engineering over the past decade?,0.4366
29,How has the reporting of the setting evolved over time?,How has the use of qualitative methods in Requirements Engineering evolved over the years?,0.3762
30,Do the authors synthesize and present the results as checklists or guidelines applicable for industrial users?,How do empirical research methods differ between academic and industry-based studies in Requirements Engineering?,0.4266
31,How has the the reporting of the population evolved over time?,How do empirical studies address requirements evolution?,0.3027
32,How has the reporting of the context evolved over time?,How has the focus of empirical research topics in Requirements Engineering shifted over time?,0.3735
33,Do the authors exlain WHY their apporach is better than others in a selected context with specific characteristics?,What impact does empirical research indicate for requirements documentation quality?,0.3452
34,Do the authors exlain WHEN their apporach is better than others in a selected context with specific characteristics?,How is requirements ambiguity addressed in empirical studies?,0.3321
35,Do the authors exlain HOW their apporach is better than others in a selected context with specific characteristics?,What impact does empirical research indicate for requirements documentation quality?,0.3604
