,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How does the system handle multimodal interactions?,0.5753
1,What is an interactive software system?,How does the system handle multimodal interactions?,0.5305
2,What is a complex interactive computer system?,What are the core components of human-computer interaction (HCI)?,0.6202
3,What does make up the user interface of an interactive computer system?,What are the core components of human-computer interaction (HCI)?,0.6364
4,What is a User?,How are user profiles represented in HCI models?,0.4236
5,How can a user interact in human–computer interactions?,What are the core components of human-computer interaction (HCI)?,0.6285
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does the system handle multimodal interactions?,0.572
7,Why does a user intentionally interact with an interactive computer system?,How does the system handle multimodal interactions?,0.5789
8,What does make up a complex user participation?,What are the core components of human-computer interaction (HCI)?,0.4522
9,What is a human–computer interaction?,What are the core components of human-computer interaction (HCI)?,0.7207
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How does the system infer new information from user interactions?,0.4726
11,How is a user input processed by an interactive computer system?,How does the system handle multimodal interactions?,0.5923
12,How does a user receive an output from an interactive computer system?,How does the system handle multimodal interactions?,0.531
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How does the system handle multimodal interactions?,0.573
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core components of human-computer interaction (HCI)?,0.4559
