,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,0.5718
1,What is an interactive software system?,How can ontological models be used to improve accessibility in interactive systems?,0.53
2,What is a complex interactive computer system?,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,0.6328
3,What does make up the user interface of an interactive computer system?,"How can user characteristics (e.g., motor and sensory abilities) influence the design of an interactive interface?",0.6804
4,What is a User?,What are the challenges in modeling user profiles for HCI systems?,0.3606
5,How can a user interact in human–computer interactions?,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,0.6777
6,"Considering intentionality, how can a user interact with an interactive computer system?","How can user characteristics (e.g., motor and sensory abilities) influence the design of an interactive interface?",0.5557
7,Why does a user intentionally interact with an interactive computer system?,"How can user characteristics (e.g., motor and sensory abilities) influence the design of an interactive interface?",0.5648
8,What does make up a complex user participation?,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,0.4816
9,What is a human–computer interaction?,What are the primary modes of interaction in Human-Computer Interaction (HCI)?,0.7161
10,"Considering the human–computer interaction, how can a user participation cause another user participation?","How can user characteristics (e.g., motor and sensory abilities) influence the design of an interactive interface?",0.4614
11,How is a user input processed by an interactive computer system?,What criteria determine the selection of input and output modalities in an interactive system?,0.6253
12,How does a user receive an output from an interactive computer system?,What criteria determine the selection of input and output modalities in an interactive system?,0.5476
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What criteria determine the selection of input and output modalities in an interactive system?,0.649
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the methods for measuring user interaction improvement in adaptive HCI systems?,0.4919
