,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What role do user characteristics play in determining suitable interaction modalities?,0.4605
1,What is an interactive software system?,What role do user characteristics play in determining suitable interaction modalities?,0.436
2,What is a complex interactive computer system?,What are the main components of an interaction ontology in HCI?,0.5006
3,What does make up the user interface of an interactive computer system?,What role do user characteristics play in determining suitable interaction modalities?,0.5961
4,What is a User?,What role do user characteristics play in determining suitable interaction modalities?,0.4234
5,How can a user interact in human–computer interactions?,What role do user characteristics play in determining suitable interaction modalities?,0.603
6,"Considering intentionality, how can a user interact with an interactive computer system?",What role do user characteristics play in determining suitable interaction modalities?,0.5068
7,Why does a user intentionally interact with an interactive computer system?,What role do user characteristics play in determining suitable interaction modalities?,0.5346
8,What does make up a complex user participation?,What role do user characteristics play in determining suitable interaction modalities?,0.5415
9,What is a human–computer interaction?,What are the main components of an interaction ontology in HCI?,0.5001
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What role do user characteristics play in determining suitable interaction modalities?,0.5068
11,How is a user input processed by an interactive computer system?,How can we define and categorize input and output interaction components in HCI ontology?,0.4781
12,How does a user receive an output from an interactive computer system?,How can we define and categorize input and output interaction components in HCI ontology?,0.4515
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How can we define and categorize input and output interaction components in HCI ontology?,0.5251
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the methods for measuring user physical capabilities and translating them into suitable interaction modalities?,0.4787
