,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main components of human-computer interaction?,0.6371
1,What is an interactive software system?,What are the main components of human-computer interaction?,0.5371
2,What is a complex interactive computer system?,What are the main components of human-computer interaction?,0.6541
3,What does make up the user interface of an interactive computer system?,What are the main components of human-computer interaction?,0.69
4,What is a User?,How does user modeling contribute to adaptive user interfaces?,0.3717
5,How can a user interact in human–computer interactions?,What are the main components of human-computer interaction?,0.7173
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do physical and cognitive disabilities affect user interaction with computer systems?,0.5576
7,Why does a user intentionally interact with an interactive computer system?,What are the main components of human-computer interaction?,0.5517
8,What does make up a complex user participation?,What are the main components of human-computer interaction?,0.4779
9,What is a human–computer interaction?,What are the main components of human-computer interaction?,0.7888
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the main components of human-computer interaction?,0.4839
11,How is a user input processed by an interactive computer system?,What are the main components of human-computer interaction?,0.5411
12,How does a user receive an output from an interactive computer system?,How do physical and cognitive disabilities affect user interaction with computer systems?,0.4298
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main components of human-computer interaction?,0.5173
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main components of human-computer interaction?,0.4685
