,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How is the interaction between users and interactive systems characterized?,0.7979
1,What is an interactive software system?,How is the interaction between users and interactive systems characterized?,0.7668
2,What is a complex interactive computer system?,How is the interaction between users and interactive systems characterized?,0.727
3,What does make up the user interface of an interactive computer system?,How is the interaction between users and interactive systems characterized?,0.8315
4,What is a User?,How is the interaction between users and interactive systems characterized?,0.4543
5,How can a user interact in human–computer interactions?,How is the interaction between users and interactive systems characterized?,0.7587
6,"Considering intentionality, how can a user interact with an interactive computer system?",How is the interaction between users and interactive systems characterized?,0.7431
7,Why does a user intentionally interact with an interactive computer system?,How is the interaction between users and interactive systems characterized?,0.785
8,What does make up a complex user participation?,How is the interaction between users and interactive systems characterized?,0.5542
9,What is a human–computer interaction?,What are the core concepts associated with Human-Computer Interaction (HCI)?,0.7596
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How is the interaction between users and interactive systems characterized?,0.5843
11,How is a user input processed by an interactive computer system?,How is the interaction between users and interactive systems characterized?,0.7025
12,How does a user receive an output from an interactive computer system?,How is the interaction between users and interactive systems characterized?,0.633
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How is the interaction between users and interactive systems characterized?,0.6999
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core concepts associated with Human-Computer Interaction (HCI)?,0.493
