,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key components of an interactive system in the HCI domain?,0.7207
1,What is an interactive software system?,What are the key components of an interactive system in the HCI domain?,0.6742
2,What is a complex interactive computer system?,What are the key components of an interactive system in the HCI domain?,0.7194
3,What does make up the user interface of an interactive computer system?,What are the key components of an interactive system in the HCI domain?,0.74
4,What is a User?,What types of user characteristics are considered in HCI for interface adaptation?,0.3291
5,How can a user interact in human–computer interactions?,How do multimodal systems enhance user interaction in HCI?,0.6819
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the key components of an interactive system in the HCI domain?,0.5684
7,Why does a user intentionally interact with an interactive computer system?,How do multimodal systems enhance user interaction in HCI?,0.5863
8,What does make up a complex user participation?,What are the key components of an interactive system in the HCI domain?,0.4573
9,What is a human–computer interaction?,What are the key components of an interactive system in the HCI domain?,0.6038
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do multimodal systems enhance user interaction in HCI?,0.499
11,How is a user input processed by an interactive computer system?,What are the key components of an interactive system in the HCI domain?,0.605
12,How does a user receive an output from an interactive computer system?,What are the key components of an interactive system in the HCI domain?,0.531
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the key components of an interactive system in the HCI domain?,0.5884
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How do multimodal systems enhance user interaction in HCI?,0.4281
