,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of an interactive system in the context of human-computer interaction?,0.8039
1,What is an interactive software system?,What are the core components of an interactive system in the context of human-computer interaction?,0.722
2,What is a complex interactive computer system?,What are the core components of an interactive system in the context of human-computer interaction?,0.7679
3,What does make up the user interface of an interactive computer system?,What are the core components of an interactive system in the context of human-computer interaction?,0.8335
4,What is a User?,How can an ontology be used to describe user characteristics in adaptive user interfaces?,0.4249
5,How can a user interact in human–computer interactions?,What are the core components of an interactive system in the context of human-computer interaction?,0.6707
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the core components of an interactive system in the context of human-computer interaction?,0.6404
7,Why does a user intentionally interact with an interactive computer system?,What are the core components of an interactive system in the context of human-computer interaction?,0.653
8,What does make up a complex user participation?,What are the core components of an interactive system in the context of human-computer interaction?,0.4594
9,What is a human–computer interaction?,What are the core components of an interactive system in the context of human-computer interaction?,0.7121
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the core components of an interactive system in the context of human-computer interaction?,0.4299
11,How is a user input processed by an interactive computer system?,What are the core components of an interactive system in the context of human-computer interaction?,0.6765
12,How does a user receive an output from an interactive computer system?,What are the core components of an interactive system in the context of human-computer interaction?,0.5515
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the core components of an interactive system in the context of human-computer interaction?,0.6548
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the methods to assess the effectiveness of adaptive interactive systems?,0.5124
