,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How does an interactive system provide output to the user?,0.7453
1,What is an interactive software system?,How does an interactive system provide output to the user?,0.7194
2,What is a complex interactive computer system?,How does an interactive system provide output to the user?,0.6458
3,What does make up the user interface of an interactive computer system?,How does an interactive system provide output to the user?,0.7498
4,What is a User?,How do user characteristics impact the design of user interfaces?,0.4273
5,How can a user interact in human–computer interactions?,How is user input captured in an interactive system?,0.6438
6,"Considering intentionality, how can a user interact with an interactive computer system?",How is user input captured in an interactive system?,0.6817
7,Why does a user intentionally interact with an interactive computer system?,How does an interactive system provide output to the user?,0.6885
8,What does make up a complex user participation?,What is the human–computer interaction (HCI) domain and its core concepts?,0.4701
9,What is a human–computer interaction?,What is the human–computer interaction (HCI) domain and its core concepts?,0.7661
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How is user input captured in an interactive system?,0.4552
11,How is a user input processed by an interactive computer system?,How is user input captured in an interactive system?,0.9397
12,How does a user receive an output from an interactive computer system?,How does an interactive system provide output to the user?,0.9009
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How is user input captured in an interactive system?,0.9125
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What approaches exist for evaluating the efficiency and effectiveness of HCI systems?,0.481
