,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core concepts in Human-Computer Interaction (HCI)?,0.5579
1,What is an interactive software system?,What are the core concepts in Human-Computer Interaction (HCI)?,0.4978
2,What is a complex interactive computer system?,What are the core concepts in Human-Computer Interaction (HCI)?,0.6267
3,What does make up the user interface of an interactive computer system?,What are the core concepts in Human-Computer Interaction (HCI)?,0.6039
4,What is a User?,How do user characteristics influence the design of user interfaces in HCI?,0.3794
5,How can a user interact in human–computer interactions?,What are the core concepts in Human-Computer Interaction (HCI)?,0.6394
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the core concepts in Human-Computer Interaction (HCI)?,0.4609
7,Why does a user intentionally interact with an interactive computer system?,How does user context affect interaction modalities in HCI?,0.4994
8,What does make up a complex user participation?,What are the core concepts in Human-Computer Interaction (HCI)?,0.4626
9,What is a human–computer interaction?,What are the core concepts in Human-Computer Interaction (HCI)?,0.7227
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do user characteristics influence the design of user interfaces in HCI?,0.4654
11,How is a user input processed by an interactive computer system?,What are the core concepts in Human-Computer Interaction (HCI)?,0.4656
12,How does a user receive an output from an interactive computer system?,What role does user feedback play in the adaptation of HCI systems?,0.4504
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What role does user feedback play in the adaptation of HCI systems?,0.4739
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core concepts in Human-Computer Interaction (HCI)?,0.4939
