,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the fundamental components of an interactive system in HCI?,0.7695
1,What is an interactive software system?,What are the fundamental components of an interactive system in HCI?,0.715
2,What is a complex interactive computer system?,What are the fundamental components of an interactive system in HCI?,0.7696
3,What does make up the user interface of an interactive computer system?,What are the fundamental components of an interactive system in HCI?,0.7936
4,What is a User?,What factors must be considered when designing a user interface for diverse user groups?,0.3514
5,How can a user interact in human–computer interactions?,How can multimodal interaction be integrated into HCI?,0.6139
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the fundamental components of an interactive system in HCI?,0.5903
7,Why does a user intentionally interact with an interactive computer system?,What are the fundamental components of an interactive system in HCI?,0.6046
8,What does make up a complex user participation?,What factors must be considered when designing a user interface for diverse user groups?,0.4922
9,What is a human–computer interaction?,What are the fundamental components of an interactive system in HCI?,0.6505
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do user characteristics influence interface adaptations in HCI?,0.4441
11,How is a user input processed by an interactive computer system?,What are the fundamental components of an interactive system in HCI?,0.6534
12,How does a user receive an output from an interactive computer system?,What are the fundamental components of an interactive system in HCI?,0.56
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the fundamental components of an interactive system in HCI?,0.6407
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the fundamental components of an interactive system in HCI?,0.4365
