,genCQs,best_expertCQs,best_cos_score
0,What is the state of the art in empirical studies of Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5308
1,What is the strength of empirical evidence in empirical Requirement Engineering literature?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5524
2,Which era of RE research has shown maximum progress in terms of new advances?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6056
3,Which countries are frequently involved in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5818
4,In which contexts have these empirical studies of RE been carried out over the period?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7628
5,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
6,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
7,In which publication channels are the empirical studies of RE found?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6839
8,"How are the research method, type, intervention, and domains related to RE core areas?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.542
9,Which research method is most frequently used in primary studies of RE?,How often are which statistical methods used?,0.6043
10,What kind of research participants are frequently involved in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6033
11,Which data collection method is most frequently used in the investigation of RE?,How often are which statistical methods used?,0.5405
12,What is the frequency of different research types in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6344
13,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
14,What kind of questions can and should we ask to understand RE practice?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.3545
15,What evidence do we have about RE practice?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4188
16,What further evidence is needed about RE practice?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.4163
17,What are the typical findings of empirical studies about RE conducted in Germany and Australia?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5898
18,What is the landscape of broad studies on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6547
19,What findings and issues emerge from the broad studies on RE conducted in Germany and Australia?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5243
20,"What role do other types of empirical studies, such as experiments, play in RE research?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.6945
21,What are the trends and opportunities of empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7322
22,How can the empirical work done in RE till the year 2012 be synthesized?,How often are which empirical methods used?,0.534
23,What major focus areas are identified in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7177
24,What is the emerging area with the most empirical research in the RE field?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6978
25,Why is there a lack of empirical research in the areas of requirements validation and verification?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.4937
26,What is the common trend in almost all RE sub-areas regarding proposing new interventions?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5235
27,What are the leading intervention types in RE empirical research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6454
28,How can practitioners' involvement in RE empirical research be increased?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5878
29,What are the main themes identified from aggregating and synthesizing RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5844
30,What are the trends and opportunities in RE research for both industry and academia?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5713
31,How has the interest in empirical RE research changed over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7511
32,What are the different domains where empirical RE research is actively pursued?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7287
33,What is the significance of non-functional requirements (NFRs) in emerging RE research?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4678
