,genCQs,best_expertCQs,best_cos_score
0,What is the state of the art in empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6891
1,What is the strength of empirical evidence in empirical requirement engineering literature?,How do the authors justify the selection and combination of empirical methods and design elements?,0.5524
2,Which era of RE research has maximum progress in terms of new advances?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6008
3,"Which country is frequently involved in RE research and in which era, these countries showed maximum progress?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.5407
4,"In which context, these empirical studies of RE have been carried out over the period of RE research?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7051
5,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
6,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
7,In which channels are the empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7048
8,"How are the research method, type, intervention, and domains related to RE core areas?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.542
9,Which research method is frequently used in primary studies?,How often are which statistical methods used?,0.6637
10,What kind of research participants are frequently involved in primary studies?,How often are those who conduct the studies also the authors of the papers?,0.6333
11,Which data collection method is frequently used in the investigation of research in primary studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5743
12,What is the frequency of different research types of primary studies?,How often are those who conduct the studies also the authors of the papers?,0.6418
13,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
14,What is the trend in requirements elicitation in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5835
15,What is the trend in requirements analysis in empirical RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5923
16,What is the trend in the RE process in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6631
17,What is the extent of empirical research in non-functional requirements within RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.5757
18,How have requirements validation and verification trends evolved in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5618
19,What research methods are most commonly used in empirical RE studies?,How often are which empirical methods used?,0.7459
20,How prevalent are case study research methods in empirical RE?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7981
