,genCQs,best_expertCQs,best_cos_score
0,What is the current state of empirical studies in requirements engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5907
1,Which empirical research methods are most frequently used in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6985
2,What are the trends and emerging areas in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7383
3,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
4,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
5,What is the frequency of different research types in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6344
6,What kind of research participants are frequently involved in primary studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6033
7,Which data collection methods are frequently used in RE empirical studies?,How often are which empirical methods used?,0.7253
8,What challenges do researchers face when replicating empirical studies in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6752
9,What evidence supports the practical applicability of RE research outcomes?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.5641
10,How do empirical RE practices vary across different geographical regions?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5615
11,In which domains has empirical RE research been most active recently?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.773
12,How has the focus of empirical RE research shifted over the past decades?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7462
13,What are the main findings from systematic literature reviews on empirical RE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.7389
14,How do practitioners perceive the usefulness of various RE techniques based on empirical evidence?,How often are which empirical methods used?,0.5335
15,Which RE sub-areas lack sufficient empirical research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6872
16,How do RE empirical studies address non-functional requirements?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.603
17,What are the success factors identified for RE practices in empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.5891
18,How do empirical studies compare different RE techniques in practice?,How often are which empirical methods used?,0.6337
