,genCQs,best_expertCQs,best_cos_score
0,What kinds of questions can and should we ask to understand RE practice?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.3676
1,What evidence do we have about RE practice?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4188
2,What further evidence do we need about RE practice?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4115
3,What is the state of the art in empirical studies of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6891
4,What is the strength of empirical evidence in RE?,Do the authors use (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence?,0.6539
5,Which era of RE research has maximum progress in terms of new advances?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6008
6,"Which country is frequently involved in RE research, and in which era did these countries show maximum progress?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.5557
7,In which context have empirical studies of RE been carried out over the period of RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7155
8,How has empirical research in various RE knowledge areas evolved over the years?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.708
9,What types of interventions have been proposed or investigated in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5412
10,In which channels are empirical studies of RE published?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6989
11,"How are the research method, type, intervention, and domain related to RE core areas?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.5325
12,Which research method is frequently used in primary RE studies?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6256
13,What kind of research participants are frequently involved in primary RE studies?,How often are those who conduct the studies also the authors of the papers?,0.5824
14,Which data collection method is frequently used in RE primary studies?,How often are which statistical methods used?,0.5827
15,What is the frequency of various research types in RE primary studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.613
16,How rigorous is the reported research in different RE core areas?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6022
17,Why do we need empirical evidence in RE practice?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5843
18,What basic terminology is used in empirical software engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6305
19,What studies are considered broad surveys in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6723
20,What framework should be used for questionnaires on RE?,"""On which levels of sophistication are the theories from SE and RE? (level 1, level 2, or level 3 defined in Sjøberg et al. [1])""",0.3601
21,What are the typical findings of empirical RE studies in Germany and Australia?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6505
22,What is the role of experiments in empirical RE?,How often are which empirical methods used?,0.5677
23,What broad studies have collected empirical evidence on RE practices?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6227
24,What evidence do we need to confirm success factors in RE?,How has the use of (a common set of empirically derived) criteria to characterize the quality of secondary research and thus the overall strength of a body of evidence evolved over time?,0.5055
25,How is the transfer from industry to university emphasized in RE?,"""What is the proportion of theories from other disciplines, from other disciplines with adaptions for the SE and RE, and from SE and RE itself?""",0.399
26,What are the major results of broad RE empirical studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7463
27,How can we integrate studies from the information systems community in RE research?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.5148
28,What strategic and operational requirements are important in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5168
29,How can standard RE terminology be achieved?,How often are standards used to describe the theories incorporated?,0.3881
30,What certification schemes are available for RE?,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,0.3424
31,Why is the replication of studies important in RE?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.5719
32,What are the critical success factors for the industrial uptake of specific RE techniques?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5014
33,How effective are different RE interventions in practice?,Does the research design allow for efficient reuse of study (results) by other researchers?,0.4752
34,What is the state of empirical evidence for non-functional requirements in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.4929
35,Which non-functional requirements lack empirical research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4728
36,What emerging non-functional requirements need further investigation?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.4019
37,How has the number of empirical RE studies changed over time?,How has the proportion of empirical studies evolved over time?,0.8237
38,What are the major focus areas of empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.712
39,How is the interest in RE empirical research evolving?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7075
40,What are the challenges of aggregating empirical RE results?,How often are which empirical methods used?,0.5436
41,How can empirical RE research be synthesized to identify trends and future directions?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6652
42,What is the role of empirical RE research in global software development?,How many empirical studies are by authors working for large software development companies?,0.6032
43,How should practitioners be involved in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6204
44,What are the commonly used practices in the RE community?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.3875
