,genCQ,expertCQ,cos_score
0,What types of empirical methods are most commonly used in Requirements Engineering studies?,How often are which empirical methods used?,0.6862
1,How do different empirical methods complement each other in Requirements Engineering research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6766
2,What methodologies are used for conducting systematic literature reviews in Requirements Engineering research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6720
3,What types of empirical methods are most commonly used in Requirements Engineering studies?,How many different empirical methods are used per publication?,0.6587
4,What methodologies are used for conducting systematic literature reviews in Requirements Engineering research?,How many publications are analyzed in (systematic literature) reviews?,0.6503
5,What methodologies are used for conducting systematic literature reviews in Requirements Engineering research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6499
6,How do different empirical methods complement each other in Requirements Engineering research?,How many different empirical methods are used per publication?,0.6467
7,What types of empirical methods are most commonly used in Requirements Engineering studies?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6422
8,How do different empirical methods complement each other in Requirements Engineering research?,How often are which empirical methods used?,0.6404
9,What types of empirical methods are most commonly used in Requirements Engineering studies?,How often are which empirical methods used over time?,0.6246
10,What types of empirical methods are most commonly used in Requirements Engineering studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6204
11,How is the feedback from empirical studies integrated into practice improvements?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6192
12,What methodologies are used for conducting systematic literature reviews in Requirements Engineering research?,"""Do the authors refer to and consistently use a basic terminology, descriptors, and keywords to identify and select primary studies for (systematic literature) reviews?""",0.6081
13,How do different empirical methods complement each other in Requirements Engineering research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6009
14,How do different empirical methods complement each other in Requirements Engineering research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.5993
15,What types of empirical methods are most commonly used in Requirements Engineering studies?,How has the number of empirical methods used per publication evolved over time?,0.5960
16,How do different empirical methods complement each other in Requirements Engineering research?,How has the number of empirical methods used per publication evolved over time?,0.5924
17,What methodologies are used for conducting systematic literature reviews in Requirements Engineering research?,Have the authors done a systematic review of related work?,0.5922
18,How is the feedback from empirical studies integrated into practice improvements?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5901
19,What types of empirical methods are most commonly used in Requirements Engineering studies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5872
20,How is the feedback from empirical studies integrated into practice improvements?,How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.5772
21,What methodologies are used for conducting systematic literature reviews in Requirements Engineering research?,Which digital libraries with publications from SE and RE and related disciplines do authors use for (systematic literature) reviews?,0.5703
22,How are empirical research findings disseminated to practitioners in Requirements Engineering?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.5671
