,genCQ,expertCQ,cos_score
0,What are the most significant trends in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6605
1,What are the most significant trends in RE research?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6141
2,What are the most significant trends in RE research?,"""How has building on previous research data and results, including from other disciplines, evolved over time?""",0.5897
3,What are the most significant trends in RE research?,How has the proportion of empirical studies evolved over time?,0.5792
4,What are the most significant trends in RE research?,How has the reporting of research questions and answers evolved over time?,0.5635
5,What are the most significant trends in RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.5539
6,How is RE affected by advancements in technology?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5485
7,What are the most significant trends in RE research?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5474
8,What are the most significant trends in RE research?,How has the reporting of the objects of study / treatments evolved over time?,0.5470
9,What are the most significant trends in RE research?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.5460
10,What are the most significant trends in RE research?,"""How up-to-date (and relevant) are reported (systematic) reviews, so-called secondary research?""",0.5338
11,What are the most significant trends in RE research?,How many studies incorporate theories?,0.5101
12,What are the typical RE practices adopted in the industry?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.5100
13,What are the most significant trends in RE research?,How has the use of theories for a diverse and reflective generalization of study results evolved over time?,0.5057
14,What are the most significant trends in RE research?,"""How has the provision of data (the materials used, raw data collected, and study results identified) evolved over time?""",0.5044
15,What are the most significant trends in RE research?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.5023
16,What are the most significant trends in RE research?,How has the proportion of studies by authors working for large software development companies evolved over time?,0.4956
17,What are the most significant trends in RE research?,How has the proportion of papers that do not have an empirical study evolved over time?,0.4949
18,How are RE best practices benchmarked across the industry?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4945
19,What are the limitations of current RE methodologies?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.4938
