,genCQ,expertCQ,cos_score
0,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",Which sub-fields of SE and RE do the empirical studies cover over time?,0.7636
1,What are the major types of empirical studies found in RE literature?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7412
2,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How often are which empirical methods used?,0.6802
3,What are the major gaps in existing empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6778
4,How frequently are empirical research practices updated to reflect new findings in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6737
5,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6729
6,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?","""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6727
7,What are the major types of empirical studies found in RE literature?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6706
8,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How has the proportion of empirical studies evolved over time?,0.6649
9,What are the major types of empirical studies found in RE literature?,"""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6584
10,How does empirical RE research address the diversity of terminology and factors in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6578
11,What are the main findings from recent large-scale empirical studies on RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6554
12,How does empirical RE research address the diversity of terminology and factors in RE?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6549
13,How do different research methods contribute to empirical knowledge in RE?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6548
14,What are the major types of empirical studies found in RE literature?,How many different empirical methods are used per publication?,0.6543
15,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How often are which empirical methods used over time?,0.6537
16,What are the current trends in RE practice adoption among different types of companies?,How has comparing new approaches with relevant alternative approaches used in the industry evolved over time?,0.6525
17,What are the main areas of improvement for future empirical studies in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6471
18,How does empirical RE research address the diversity of terminology and factors in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6458
19,What are the major types of empirical studies found in RE literature?,How often are which empirical methods used?,0.6453
20,What are the best practices for conducting empirical research in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6452
21,How do different research methods contribute to empirical knowledge in RE?,How has the number of empirical methods used per publication evolved over time?,0.6451
22,What are the major types of empirical studies found in RE literature?,How has the number of empirical methods used per publication evolved over time?,0.6399
23,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How many different empirical methods are used per publication?,0.6397
24,How is empirical research in RE typically conducted in academia versus industry?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6395
25,What are the major types of empirical studies found in RE literature?,"""How have the proportions of experiments, secondary research (reviews), surveys, case studies, and action research in the empirical methods used evolved over time?""",0.6390
26,What are the major types of empirical studies found in RE literature?,How has the proportion of empirical studies evolved over time?,0.6390
27,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How has the number of empirical methods used per publication evolved over time?,0.6380
28,How can empirical research contribute to the development of RE tools and methodologies?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6368
29,How do different research methods contribute to empirical knowledge in RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6367
30,What are the challenges of applying empirical methods in RE research?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6360
31,How frequently are empirical research practices updated to reflect new findings in RE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6318
32,What are the major types of empirical studies found in RE literature?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.6307
33,How do researchers map empirical evidence in RE to practical improvements?,Which methods are used to synthesize evidence from data of different empirical methods?,0.6298
34,How do different research methods contribute to empirical knowledge in RE?,How many different empirical methods are used per publication?,0.6284
35,How frequently are empirical research practices updated to reflect new findings in RE?,How has the proportion of empirical studies evolved over time?,0.6253
36,How can empirical research contribute to the development of RE tools and methodologies?,Do the authors use conceptual and operational definitions for key constructs and variables in empirical research in SE and RE?,0.6244
37,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?","""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6237
38,How do different research methods contribute to empirical knowledge in RE?,How often are which empirical methods used?,0.6235
39,How do different research methods contribute to empirical knowledge in RE?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6232
40,How frequently are empirical research practices updated to reflect new findings in RE?,How often are which empirical methods used over time?,0.6203
41,What are the key issues in evaluating the rigor of empirical RE research methods?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6202
42,How do different research methods contribute to empirical knowledge in RE?,"""How has the proportions of  empirical methods to conduct (systematic literature) reviews, so-called secondary research, evolved over time?""",0.6199
43,How does the empirical research community in RE address the need for interdisciplinary studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6191
44,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",Which methods are used to synthesize evidence from data of different empirical methods?,0.6174
45,What are the major types of empirical studies found in RE literature?,How often are which empirical methods used over time?,0.6173
46,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How many empirical studies are by authors working for large software development companies?,0.6156
47,How is empirical research in RE typically conducted in academia versus industry?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6155
48,How do different research methods contribute to empirical knowledge in RE?,How do the authors justify the selection and combination of empirical methods and design elements?,0.6155
49,What are the common empirical research practices in Requirements Engineering (RE)?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6146
50,What are the challenges of applying empirical methods in RE research?,What are the conceptual and operational definitions used for key constructs and variables in empirical research in SE and RE?,0.6140
51,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?","""What empirical methods are used to conduct integrative and interpretive (systematic literature) reviews, so-called secondary research?""",0.6139
52,What are the major types of empirical studies found in RE literature?,How many publications are analyzed in (systematic literature) reviews?,0.6124
53,What are the challenges of applying empirical methods in RE research?,How often are which empirical methods used?,0.6106
54,"What kind of empirical studies are most commonly conducted in RE (e.g., surveys, case studies)?",How has the use of (a common set of empirically derived) criteria to assess the quality of individual studies evolved over time?,0.6105
