,genCQ,expertCQ,cos_score
0,How has the use of empirical methods in RE evolved over time?,How often are which empirical methods used over time?,0.8254
1,How has the use of empirical methods in RE evolved over time?,How often are which empirical methods used?,0.8123
2,How has the use of empirical methods in RE evolved over time?,How has the number of empirical methods used per publication evolved over time?,0.8104
3,How have empirical methods in RE been adapted from other disciplines?,How often are which empirical methods used?,0.7818
4,What are the most cited empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7775
5,What types of data analysis methods are used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7611
6,What are the most commonly used empirical methods in RE research?,How often are which empirical methods used?,0.7600
7,How have empirical methods in RE been adapted from other disciplines?,How has the number of empirical methods used per publication evolved over time?,0.7548
8,What are the most commonly used empirical methods in RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7526
9,What are the most frequent topics covered in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7499
10,What are the most significant findings of empirical research in RE over the past decade?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7465
11,How do RE researchers perceive the usefulness of empirical methods?,How often are which empirical methods used?,0.7369
12,How have empirical methods in RE been adapted from other disciplines?,How many different empirical methods are used per publication?,0.7314
13,How have empirical methods in RE been adapted from other disciplines?,How often are which empirical methods used over time?,0.7308
14,How have empirical methods in RE been adapted from other disciplines?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7290
15,How have empirical methods in RE been adapted from other disciplines?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7260
16,What are the most commonly used empirical methods in RE research?,How often are which empirical methods used over time?,0.7255
17,What is the role of case studies in empirical RE research?,How have the proportions of case studies and action research in the empirical methods used evolved over time?,0.7238
18,Which empirical methods are underutilized in RE research?,How often are which empirical methods used?,0.7232
19,What types of data analysis methods are used in empirical RE studies?,How often are which empirical methods used?,0.7215
20,Which empirical methods are underutilized in RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7206
21,How has the use of empirical methods in RE evolved over time?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7169
22,What types of data collection methods are used in empirical RE studies?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7134
23,How has the use of empirical methods in RE evolved over time?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7128
24,How has the use of empirical methods in RE evolved over time?,How has the use of statistical methods evolved over time?,0.7123
25,How do RE researchers perceive the usefulness of empirical methods?,How do the authors justify the selection and combination of empirical methods and design elements?,0.7116
26,What are the most cited empirical RE studies?,How has the proportion of empirical studies evolved over time?,0.7111
27,What are the main types of empirical evidence collected in RE research?,Which methods are used to synthesize evidence from data of different empirical methods?,0.7079
28,What types of data collection methods are used in empirical RE studies?,How often are which empirical methods used?,0.7072
29,How has the use of empirical methods in RE evolved over time?,How has the proportion of empirical studies evolved over time?,0.7065
30,How do RE researchers perceive the usefulness of empirical methods?,How has the number of empirical methods used per publication evolved over time?,0.7042
31,What are the most commonly used empirical methods in RE research?,How many different empirical methods are used per publication?,0.7019
32,What are the main types of empirical evidence collected in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.7003
33,What types of data analysis methods are used in empirical RE studies?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6996
34,What are the common themes in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6975
35,What are the trends in publication of empirical RE research in top conferences and journals?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6960
36,What types of data collection methods are used in empirical RE studies?,How many different empirical methods are used per publication?,0.6956
37,What types of data analysis methods are used in empirical RE studies?,How often are which empirical methods used over time?,0.6935
38,How do RE researchers perceive the usefulness of empirical methods?,How often are which empirical methods used over time?,0.6913
39,Which empirical methods are underutilized in RE research?,How many different empirical methods are used per publication?,0.6910
40,What types of data analysis methods are used in empirical RE studies?,How many different empirical methods are used per publication?,0.6889
41,How often are empirical studies in RE replicated?,How often are which empirical methods used over time?,0.6889
42,Which empirical methods are underutilized in RE research?,How often are which empirical methods used over time?,0.6888
43,What are the most significant findings of empirical research in RE over the past decade?,How has the proportion of empirical studies evolved over time?,0.6882
44,What types of data collection methods are used in empirical RE studies?,How often are which empirical methods used over time?,0.6881
45,Which empirical methods are underutilized in RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6859
46,What are the primary data sources used in empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6832
47,Which empirical methods are underutilized in RE research?,How has the number of empirical methods used per publication evolved over time?,0.6831
48,How do empirical RE studies contribute to the theoretical development of RE?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6789
49,How has the use of empirical methods in RE evolved over time?,How many different empirical methods are used per publication?,0.6768
50,What frameworks are used to structure empirical RE research?,Which sub-fields of SE and RE do the empirical studies cover over time?,0.6745
51,What are the most commonly used empirical methods in RE research?,How has the number of empirical methods used per publication evolved over time?,0.6742
52,What are the common sources of bias in empirical RE research?,How do the authors justify preventing bias in the study results?,0.6740
