,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,How is user-system interaction modeled in ontologies?,0.5524
1,What is an interactive software system?,How is user-system interaction modeled in ontologies?,0.5562
2,What is a complex interactive computer system?,What are the different input and output modalities in Human-Computer Interaction?,0.5255
3,What does make up the user interface of an interactive computer system?,What are the different input and output modalities in Human-Computer Interaction?,0.6061
4,What is a User?,How is user-system interaction modeled in ontologies?,0.4132
5,How can a user interact in human–computer interactions?,What are the different input and output modalities in Human-Computer Interaction?,0.5885
6,"Considering intentionality, how can a user interact with an interactive computer system?",How is user-system interaction modeled in ontologies?,0.5319
7,Why does a user intentionally interact with an interactive computer system?,How is user-system interaction modeled in ontologies?,0.533
8,What does make up a complex user participation?,How is user-system interaction modeled in ontologies?,0.4293
9,What is a human–computer interaction?,What are the different input and output modalities in Human-Computer Interaction?,0.5974
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How is user-system interaction modeled in ontologies?,0.4468
11,How is a user input processed by an interactive computer system?,What are the different input and output modalities in Human-Computer Interaction?,0.6401
12,How does a user receive an output from an interactive computer system?,What are the different input and output modalities in Human-Computer Interaction?,0.5766
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the different input and output modalities in Human-Computer Interaction?,0.7007
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the different input and output modalities in Human-Computer Interaction?,0.4638
