,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the major classes defined in an HCI ontology for representing user-system interaction?,0.5141
1,What is an interactive software system?,How is the reasoning process conducted on the interaction ontology to infer suitable user interfaces?,0.5043
2,What is a complex interactive computer system?,What are the major classes defined in an HCI ontology for representing user-system interaction?,0.5517
3,What does make up the user interface of an interactive computer system?,What are the major classes defined in an HCI ontology for representing user-system interaction?,0.5703
4,What is a User?,How can user profiles be represented in the context of HCI ontologies?,0.4138
5,How can a user interact in human–computer interactions?,How is the reasoning process conducted on the interaction ontology to infer suitable user interfaces?,0.5656
6,"Considering intentionality, how can a user interact with an interactive computer system?",How is the reasoning process conducted on the interaction ontology to infer suitable user interfaces?,0.5338
7,Why does a user intentionally interact with an interactive computer system?,How is the reasoning process conducted on the interaction ontology to infer suitable user interfaces?,0.5116
8,What does make up a complex user participation?,What are the major classes defined in an HCI ontology for representing user-system interaction?,0.4289
9,What is a human–computer interaction?,What are the major classes defined in an HCI ontology for representing user-system interaction?,0.5281
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How is the reasoning process conducted on the interaction ontology to infer suitable user interfaces?,0.403
11,How is a user input processed by an interactive computer system?,How do input modalities relate to user sensory and motor abilities?,0.5115
12,How does a user receive an output from an interactive computer system?,How is the reasoning process conducted on the interaction ontology to infer suitable user interfaces?,0.3835
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How do input modalities relate to user sensory and motor abilities?,0.5008
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,How can the effectiveness of an adaptive user interface be measured in an ontology-based HCI system?,0.4009
