,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of an adaptive human-computer interaction system?,0.6353
1,What is an interactive software system?,What are the primary components of an adaptive human-computer interaction system?,0.5406
2,What is a complex interactive computer system?,What are the primary components of an adaptive human-computer interaction system?,0.6451
3,What does make up the user interface of an interactive computer system?,What are the primary components of an adaptive human-computer interaction system?,0.6737
4,What is a User?,How can user profiles be modeled in an ontology for HCI?,0.4078
5,How can a user interact in human–computer interactions?,What are the primary components of an adaptive human-computer interaction system?,0.6209
6,"Considering intentionality, how can a user interact with an interactive computer system?",How do multimodal interfaces enhance user interaction in adaptive systems?,0.5197
7,Why does a user intentionally interact with an interactive computer system?,How do multimodal interfaces enhance user interaction in adaptive systems?,0.5395
8,What does make up a complex user participation?,What are the primary components of an adaptive human-computer interaction system?,0.4374
9,What is a human–computer interaction?,What are the primary components of an adaptive human-computer interaction system?,0.6593
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do multimodal interfaces enhance user interaction in adaptive systems?,0.4373
11,How is a user input processed by an interactive computer system?,What are the primary components of an adaptive human-computer interaction system?,0.5395
12,How does a user receive an output from an interactive computer system?,What are the primary components of an adaptive human-computer interaction system?,0.4156
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary components of an adaptive human-computer interaction system?,0.5192
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary components of an adaptive human-computer interaction system?,0.4616
