,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of an interactive system in HCI?,0.7669
1,What is an interactive software system?,What are the primary components of an interactive system in HCI?,0.7092
2,What is a complex interactive computer system?,What are the primary components of an interactive system in HCI?,0.7563
3,What does make up the user interface of an interactive computer system?,What are the primary components of an interactive system in HCI?,0.7832
4,What is a User?,What criteria are used to decide the most appropriate interface for a specific user?,0.4258
5,How can a user interact in human–computer interactions?,What are the primary components of an interactive system in HCI?,0.5885
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the primary components of an interactive system in HCI?,0.5921
7,Why does a user intentionally interact with an interactive computer system?,What are the primary components of an interactive system in HCI?,0.6071
8,What does make up a complex user participation?,What are the primary components of an interactive system in HCI?,0.4544
9,What is a human–computer interaction?,What are the primary components of an interactive system in HCI?,0.6268
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How do physical and cognitive disabilities impact user interaction with a system?,0.4346
11,How is a user input processed by an interactive computer system?,What are the primary components of an interactive system in HCI?,0.6379
12,How does a user receive an output from an interactive computer system?,What are the primary components of an interactive system in HCI?,0.5571
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary components of an interactive system in HCI?,0.6164
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary components of an interactive system in HCI?,0.4093
