,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main components of a human-computer interaction model?,0.6153
1,What is an interactive software system?,Which contextual factors are considered in an ontology-based interactive system?,0.564
2,What is a complex interactive computer system?,What are the main components of a human-computer interaction model?,0.6398
3,What does make up the user interface of an interactive computer system?,What are the main components of a human-computer interaction model?,0.6728
4,What is a User?,How can user characteristics influence the configuration of an adaptive user interface?,0.3049
5,How can a user interact in human–computer interactions?,What are the main components of a human-computer interaction model?,0.6799
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main components of a human-computer interaction model?,0.515
7,Why does a user intentionally interact with an interactive computer system?,How does the implementation of multimodal interfaces enhance user interaction?,0.5479
8,What does make up a complex user participation?,What are the main components of a human-computer interaction model?,0.477
9,What is a human–computer interaction?,What are the main components of a human-computer interaction model?,0.7318
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the main components of a human-computer interaction model?,0.4461
11,How is a user input processed by an interactive computer system?,What are the main components of a human-computer interaction model?,0.5425
12,How does a user receive an output from an interactive computer system?,How are input and output modalities defined in an HCI system?,0.4404
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the main components of a human-computer interaction model?,0.5345
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the main components of a human-computer interaction model?,0.4598
