,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.808
1,What is an interactive software system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.7402
2,What is a complex interactive computer system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.7686
3,What does make up the user interface of an interactive computer system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.8314
4,What is a User?,What are the semantic relationships between user profiles and interface modalities?,0.4097
5,How can a user interact in human–computer interactions?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.701
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the key components of an interactive system within the Human-Computer Interaction domain?,0.6571
7,Why does a user intentionally interact with an interactive computer system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.6674
8,What does make up a complex user participation?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.4801
9,What is a human–computer interaction?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.7105
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the key components of an interactive system within the Human-Computer Interaction domain?,0.4702
11,How is a user input processed by an interactive computer system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.6819
12,How does a user receive an output from an interactive computer system?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.5522
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.6524
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the key components of an interactive system within the Human-Computer Interaction domain?,0.4796
