,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.5686
1,What is an interactive software system?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.5079
2,What is a complex interactive computer system?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.6332
3,What does make up the user interface of an interactive computer system?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.6056
4,What is a User?,How is a user profile represented in the HCI ontology?,0.4273
5,How can a user interact in human–computer interactions?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.6303
6,"Considering intentionality, how can a user interact with an interactive computer system?",In what ways can the HCI ontology facilitate multimodal interaction systems?,0.4786
7,Why does a user intentionally interact with an interactive computer system?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.4657
8,What does make up a complex user participation?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.4668
9,What is a human–computer interaction?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.7475
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How does the ontology model the relationship between users and interaction modalities?,0.4603
11,How is a user input processed by an interactive computer system?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.4684
12,How does a user receive an output from an interactive computer system?,What are the different input and output modalities considered in HCI?,0.4073
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the different input and output modalities considered in HCI?,0.493
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the fundamental concepts defined within the Human-Computer Interaction (HCI) domain?,0.4908
