,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.7595
1,What is an interactive software system?,What are the main components of an interactive system in the context of HCI?,0.7097
2,What is a complex interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.7535
3,What does make up the user interface of an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.7785
4,What is a User?,How does user modeling contribute to the personalization of interactive systems?,0.4335
5,How can a user interact in human–computer interactions?,How does multimodal interaction enhance user experience in smart environments?,0.6037
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the main components of an interactive system in the context of HCI?,0.5952
7,Why does a user intentionally interact with an interactive computer system?,What are the main components of an interactive system in the context of HCI?,0.614
8,What does make up a complex user participation?,How does user modeling contribute to the personalization of interactive systems?,0.5168
9,What is a human–computer interaction?,What are the main components of an interactive system in the context of HCI?,0.6472
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",How does user modeling contribute to the personalization of interactive systems?,0.5461
11,How is a user input processed by an interactive computer system?,How are input and output modalities defined and used within interactive systems?,0.6426
12,How does a user receive an output from an interactive computer system?,How are input and output modalities defined and used within interactive systems?,0.5983
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,How are input and output modalities defined and used within interactive systems?,0.6935
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the defining properties of an effective user interface according to HCI principles?,0.4275
