,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the core components of human-computer interaction (HCI) systems?,0.6149
1,What is an interactive software system?,What are the core components of human-computer interaction (HCI) systems?,0.5316
2,What is a complex interactive computer system?,What are the core components of human-computer interaction (HCI) systems?,0.6631
3,What does make up the user interface of an interactive computer system?,What are the core components of human-computer interaction (HCI) systems?,0.6739
4,What is a User?,How are user profiles represented within an HCI ontology?,0.3924
5,How can a user interact in human–computer interactions?,What are the core components of human-computer interaction (HCI) systems?,0.6279
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the core components of human-computer interaction (HCI) systems?,0.4834
7,Why does a user intentionally interact with an interactive computer system?,What are the core components of human-computer interaction (HCI) systems?,0.5043
8,What does make up a complex user participation?,What are the core components of human-computer interaction (HCI) systems?,0.4521
9,What is a human–computer interaction?,What are the core components of human-computer interaction (HCI) systems?,0.7136
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What is the role of ontologies in modeling user interactions within HCI systems?,0.4279
11,How is a user input processed by an interactive computer system?,What are the core components of human-computer interaction (HCI) systems?,0.5089
12,How does a user receive an output from an interactive computer system?,What are the core components of human-computer interaction (HCI) systems?,0.4107
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the core components of human-computer interaction (HCI) systems?,0.4984
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the core components of human-computer interaction (HCI) systems?,0.4554
