,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.7735
1,What is an interactive software system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.7079
2,What is a complex interactive computer system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.7653
3,What does make up the user interface of an interactive computer system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.8004
4,What is a User?,How are user characteristics represented in an ontology-based framework?,0.5013
5,How can a user interact in human–computer interactions?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.6745
6,"Considering intentionality, how can a user interact with an interactive computer system?",How can user interactions with a system be semantically represented for adaptation purposes?,0.6112
7,Why does a user intentionally interact with an interactive computer system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.6243
8,What does make up a complex user participation?,What is the role of user modeling in adaptive interactive systems?,0.4794
9,What is a human–computer interaction?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.727
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What is the role of user modeling in adaptive interactive systems?,0.4877
11,How is a user input processed by an interactive computer system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.6477
12,How does a user receive an output from an interactive computer system?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.5383
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.6276
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the primary components of an interactive system in Human-Computer Interaction (HCI)?,0.4699
