,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.5827
1,What is an interactive software system?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.5418
2,What is a complex interactive computer system?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.6247
3,What does make up the user interface of an interactive computer system?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.609
4,What is a User?,How is user profiling represented in the HCI ontology?,0.3822
5,How can a user interact in human–computer interactions?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.6413
6,"Considering intentionality, how can a user interact with an interactive computer system?",How does the HCI ontology handle multimodal interaction systems?,0.4921
7,Why does a user intentionally interact with an interactive computer system?,How does the HCI ontology handle multimodal interaction systems?,0.4786
8,What does make up a complex user participation?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.4402
9,What is a human–computer interaction?,What are the key concepts and terminologies in human-computer interaction (HCI)?,0.7451
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the key concepts and terminologies in human-computer interaction (HCI)?,0.4015
11,How is a user input processed by an interactive computer system?,What are the typical output modalities used in human-computer interactions?,0.4999
12,How does a user receive an output from an interactive computer system?,What are the typical output modalities used in human-computer interactions?,0.5439
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What are the typical output modalities used in human-computer interactions?,0.5813
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the typical output modalities used in human-computer interactions?,0.4817
