,expertCQs,best_genCQs,best_cos_score
0,What is an interactive computer system?,What are the key parameters to measure the effectiveness of an interactive system?,0.692
1,What is an interactive software system?,What are the key parameters to measure the effectiveness of an interactive system?,0.6388
2,What is a complex interactive computer system?,What are the key parameters to measure the effectiveness of an interactive system?,0.6384
3,What does make up the user interface of an interactive computer system?,What are the key parameters to measure the effectiveness of an interactive system?,0.6812
4,What is a User?,What are the core user characteristics relevant to human-computer interaction?,0.472
5,How can a user interact in human–computer interactions?,What are the core user characteristics relevant to human-computer interaction?,0.6778
6,"Considering intentionality, how can a user interact with an interactive computer system?",What are the key parameters to measure the effectiveness of an interactive system?,0.5862
7,Why does a user intentionally interact with an interactive computer system?,What types of input interactions occur between the user and the system?,0.6227
8,What does make up a complex user participation?,What are the core user characteristics relevant to human-computer interaction?,0.4859
9,What is a human–computer interaction?,What are the core user characteristics relevant to human-computer interaction?,0.6344
10,"Considering the human–computer interaction, how can a user participation cause another user participation?",What are the core user characteristics relevant to human-computer interaction?,0.5016
11,How is a user input processed by an interactive computer system?,What types of input interactions occur between the user and the system?,0.7994
12,How does a user receive an output from an interactive computer system?,What types of output interactions occur between the system and the user?,0.7399
13,How is a user input processed by an interactive computer system and how is the corresponding output presented to him/her?,What types of input interactions occur between the user and the system?,0.7817
14,How does a user evaluate if his/her goal was achieved in a human–computer interaction?,What are the key parameters to measure the effectiveness of an interactive system?,0.6013
